No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Density ( g/cm3 ), Density (Predictive Value), Density (Residual)
96, GB02-000581, Handbook of Glass Properties, 1986, v. 001  p. 0067, 86.2, , , 3.22, 10.57, 2345.0, , 
97, GB02-000582, Handbook of Glass Properties, 1986, v. 001  p. 0067, 85.56, , , 6.54, 7.89, 2355.0, , 
98, GB02-000583, Handbook of Glass Properties, 1986, v. 001  p. 0067, 83.0, , , 8.1, 8.9, 2389.0, , 
99, GB02-000584, Handbook of Glass Properties, 1986, v. 001  p. 0067, 81.29, , , 12.4, 6.31, 2421.0, , 
100, GB02-000585, Handbook of Glass Properties, 1986, v. 001  p. 0067, 78.14, , , 5.37, 16.49, 2432.0, , 
101, GB02-000586, Handbook of Glass Properties, 1986, v. 001  p. 0067, 77.73, , , 10.68, 11.59, 2455.0, , 
102, GB02-000587, Handbook of Glass Properties, 1986, v. 001  p. 0067, 76.97, , , 8.57, 14.45, 2456.0, , 
103, GB02-000588, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.51, , , 15.93, 8.55, 2497.0, , 
104, GB02-000589, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.82, , , 11.77, 12.41, 2485.0, , 
105, GB02-000590, Handbook of Glass Properties, 1986, v. 001  p. 0067, 76.27, , , 5.38, 18.35, 2455.0, , 
106, GB02-000591, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.04, , , 19.03, 5.93, 2505.0, , 
107, GB02-000592, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.72, , , 6.18, 18.1, 2468.0, , 
108, GB02-000593, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.32, , , 21.4, 4.28, 2535.0, , 
109, GB02-000594, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.2, , , 8.07, 16.72, 2475.0, , 
110, GB02-000595, Handbook of Glass Properties, 1986, v. 001  p. 0067, 75.0, , , 8.03, 16.96, 2477.0, , 
111, GB02-000596, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.79, , , 10.66, 14.54, 2489.0, , 
112, GB02-000597, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.65, , , 12.42, 12.93, 2495.0, , 
113, GB02-000598, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.38, , , 15.92, 9.7, 2506.0, , 
114, GB02-000599, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.51, , , 10.79, 14.7, 2489.0, , 
115, GB02-000600, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.5, , , 10.72, 14.78, 2492.0, , 
116, GB02-000601, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.44, , , 21.42, 5.14, 2532.0, , 
117, GB02-000602, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.36, , , 21.42, 5.22, 2536.0, , 
118, GB02-000603, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.33, , , 21.18, 5.48, 2522.0, , 
119, GB02-000604, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.8, , , 15.97, 14.23, 2557.0, , 
120, GB02-000605, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.39, , , 7.0, 22.6, 2504.0, , 
121, GB02-000606, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.49, , , 5.31, 24.2, 2499.0, , 
122, GB02-000607, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.65, , , 15.01, 15.34, 2548.0, , 
123, GB02-000608, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.25, , , 5.71, 24.04, 2496.0, , 
124, GB02-000609, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.15, , , 4.96, 24.88, 2503.0, , 
125, GB02-000610, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.49, , , 13.87, 16.63, 2540.0, , 
126, GB02-000611, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.5, , , 5.39, 25.11, 2504.0, , 
127, GB02-000612, Handbook of Glass Properties, 1986, v. 001  p. 0067, 67.92, , , 26.77, 5.3, 2609.0, , 
128, GB02-000613, Handbook of Glass Properties, 1986, v. 001  p. 0067, 68.58, , , 11.53, 19.88, 2544.0, , 
129, GB02-000614, Handbook of Glass Properties, 1986, v. 001  p. 0067, 68.17, , , 11.59, 20.24, 2543.0, , 
130, GB02-000615, Handbook of Glass Properties, 1986, v. 001  p. 0067, 67.55, , , 19.16, 13.29, 2586.0, , 
131, GB02-000616, Handbook of Glass Properties, 1986, v. 001  p. 0067, 68.23, , , 7.52, 24.25, 2520.0, , 
132, GB02-000617, Handbook of Glass Properties, 1986, v. 001  p. 0067, 67.73, , , 10.86, 21.41, 2543.0, , 
133, GB02-000618, Handbook of Glass Properties, 1986, v. 001  p. 0067, 67.11, , , 13.91, 18.97, 2561.0, , 
134, GB02-000619, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.01, , , 30.31, 3.68, 2655.0, , 
135, GB02-000620, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.59, , , 16.59, 16.82, 2582.0, , 
136, GB02-000621, Handbook of Glass Properties, 1986, v. 001  p. 0067, 65.62, , , 28.68, 5.69, 2654.0, , 
137, GB02-000622, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.04, , , 22.03, 11.93, 2613.0, , 
138, GB02-000623, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.48, , , 10.79, 22.73, 2547.0, , 
139, GB02-000624, Handbook of Glass Properties, 1986, v. 001  p. 0067, 66.08, , , 15.89, 18.03, 2581.0, , 
140, GB02-000625, Handbook of Glass Properties, 1986, v. 001  p. 0067, 65.77, , , 17.08, 17.15, 2591.0, , 
141, GB02-000626, Handbook of Glass Properties, 1986, v. 001  p. 0067, 65.66, , , 16.05, 18.28, 2584.0, , 
142, GB02-000627, Handbook of Glass Properties, 1986, v. 001  p. 0067, 65.53, , , 15.99, 18.47, 2586.0, , 
143, GB02-000628, Handbook of Glass Properties, 1986, v. 001  p. 0067, 64.66, , , 26.68, 8.66, 2656.0, , 
144, GB02-000629, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.81, , , 13.83, 12.36, 2509.0, , 
145, GB02-000630, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.21, , , 7.86, 17.92, 2484.0, , 
146, GB02-000631, Handbook of Glass Properties, 1986, v. 001  p. 0067, 74.35, , , 5.49, 20.15, 2469.0, , 
147, GB02-000632, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.78, , , 12.82, 13.4, 2505.0, , 
148, GB02-000633, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.69, , , 11.77, 14.53, 2505.0, , 
149, GB02-000634, Handbook of Glass Properties, 1986, v. 001  p. 0067, 72.81, , , 20.17, 7.02, 2541.0, , 
150, GB02-000635, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.2, , , 14.32, 12.48, 2518.0, , 
151, GB02-000636, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.18, , , 13.99, 12.82, 2519.0, , 
152, GB02-000637, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.4, , , 10.71, 15.88, 2501.0, , 
153, GB02-000638, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.82, , , 3.3, 22.88, 2461.0, , 
154, GB02-000639, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.52, , , 5.37, 21.11, 2474.0, , 
155, GB02-000640, Handbook of Glass Properties, 1986, v. 001  p. 0067, 72.8, , , 13.88, 13.32, 2519.0, , 
156, GB02-000641, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.45, , , 4.31, 22.23, 2470.0, , 
157, GB02-000642, Handbook of Glass Properties, 1986, v. 001  p. 0067, 73.01, , , 9.64, 17.34, 2500.0, , 
158, GB02-000643, Handbook of Glass Properties, 1986, v. 001  p. 0067, 71.59, , , 17.04, 11.37, 2546.0, , 
159, GB02-000644, Handbook of Glass Properties, 1986, v. 001  p. 0067, 71.29, , , 20.16, 8.55, 2560.0, , 
160, GB02-000645, Handbook of Glass Properties, 1986, v. 001  p. 0067, 71.94, , , 7.02, 21.04, 2495.0, , 
161, GB02-000646, Handbook of Glass Properties, 1986, v. 001  p. 0067, 71.27, , , 10.8, 17.93, 2518.0, , 
162, GB02-000647, Handbook of Glass Properties, 1986, v. 001  p. 0067, 71.19, , , 8.09, 20.72, 2499.0, , 
163, GB02-000648, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.4, , , 19.12, 10.48, 2561.0, , 
164, GB02-000649, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.82, , , 24.97, 5.21, 2594.0, , 
165, GB02-000650, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.89, , , 21.38, 8.73, 2585.0, , 
166, GB02-000651, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.91, , , 5.72, 23.37, 2495.0, , 
167, GB02-000652, Handbook of Glass Properties, 1986, v. 001  p. 0067, 70.07, , , 16.66, 13.27, 2553.0, , 
168, GB02-000653, Handbook of Glass Properties, 1986, v. 001  p. 0067, 69.92, , , 14.96, 15.12, 2549.0, , 
169, GB02-000654, Handbook of Glass Properties, 1986, v. 001  p. 0068, 54.92, , , 22.47, 22.6, 2683.0, , 
170, GB02-000655, Handbook of Glass Properties, 1986, v. 001  p. 0068, 54.13, , , 36.41, 9.46, 2773.0, , 
171, GB02-000656, Handbook of Glass Properties, 1986, v. 001  p. 0068, 54.45, , , 29.88, 15.67, 2733.0, , 
172, GB02-000657, Handbook of Glass Properties, 1986, v. 001  p. 0068, 55.4, , , 11.68, 32.92, 2610.0, , 
173, GB02-000658, Handbook of Glass Properties, 1986, v. 001  p. 0068, 53.73, , , 40.47, 5.79, 2808.0, , 
174, GB02-000659, Handbook of Glass Properties, 1986, v. 001  p. 0068, 53.55, , , 42.15, 4.3, 2816.0, , 
175, GB02-000660, Handbook of Glass Properties, 1986, v. 001  p. 0068, 55.31, , , 3.6, 41.09, 2568.0, , 
176, GB02-000661, Handbook of Glass Properties, 1986, v. 001  p. 0068, 54.53, , , 8.08, 37.39, 2587.0, , 
177, GB02-000662, Handbook of Glass Properties, 1986, v. 001  p. 0068, 53.91, , , 15.75, 30.34, 2630.0, , 
178, GB02-000663, Handbook of Glass Properties, 1986, v. 001  p. 0068, 53.36, , , 26.45, 20.18, 2705.0, , 
179, GB02-000664, Handbook of Glass Properties, 1986, v. 001  p. 0068, 52.03, , , 43.79, 4.18, 2838.0, , 
180, GB02-000665, Handbook of Glass Properties, 1986, v. 001  p. 0068, 51.86, , , 43.25, 4.88, 2832.0, , 
181, GB02-000666, Handbook of Glass Properties, 1986, v. 001  p. 0068, 53.04, , , 19.51, 27.45, 2664.0, , 
182, GB02-000667, Handbook of Glass Properties, 1986, v. 001  p. 0068, 52.93, , , 8.11, 38.96, 2601.0, , 
183, GB02-000668, Handbook of Glass Properties, 1986, v. 001  p. 0068, 51.43, , , 28.66, 19.9, 2730.0, , 
184, GB02-000669, Handbook of Glass Properties, 1986, v. 001  p. 0068, 51.96, , , 17.2, 30.84, 2665.0, , 
185, GB02-000670, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.57, , , 39.74, 9.68, 2807.0, , 
186, GB02-000671, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.56, , , 39.39, 10.04, 2802.0, , 
187, GB02-000672, Handbook of Glass Properties, 1986, v. 001  p. 0068, 51.02, , , 26.45, 22.53, 2712.0, , 
188, GB02-000673, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.52, , , 32.31, 17.17, 2761.0, , 
189, GB02-000674, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.19, , , 35.85, 13.95, 2777.0, , 
190, GB02-000675, Handbook of Glass Properties, 1986, v. 001  p. 0068, 49.85, , , 40.8, 9.35, 2821.0, , 
191, GB02-000676, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.1, , , 33.33, 16.56, 2764.0, , 
192, GB02-000677, Handbook of Glass Properties, 1986, v. 001  p. 0068, 51.07, , , 13.59, 35.33, 2648.0, , 
193, GB02-000678, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.38, , , 26.61, 23.01, 2719.0, , 
194, GB02-000679, Handbook of Glass Properties, 1986, v. 001  p. 0068, 65.03, , , 18.96, 16.01, 2595.0, , 
195, GB02-000680, Handbook of Glass Properties, 1986, v. 001  p. 0068, 64.93, , , 13.99, 21.08, 2573.0, , 
196, GB02-000681, Handbook of Glass Properties, 1986, v. 001  p. 0068, 64.18, , , 25.76, 10.06, 2649.0, , 
197, GB02-000682, Handbook of Glass Properties, 1986, v. 001  p. 0068, 65.32, , , 2.59, 32.09, 2509.0, , 
198, GB02-000683, Handbook of Glass Properties, 1986, v. 001  p. 0068, 65.05, , , 3.26, 31.69, 2517.0, , 
199, GB02-000684, Handbook of Glass Properties, 1986, v. 001  p. 0068, 64.62, , , 8.94, 26.43, 2546.0, , 
200, GB02-000685, Handbook of Glass Properties, 1986, v. 001  p. 0068, 63.68, , , 22.75, 13.56, 2638.0, , 
201, GB02-000686, Handbook of Glass Properties, 1986, v. 001  p. 0068, 62.16, , , 30.01, 7.83, 2691.0, , 
202, GB02-000687, Handbook of Glass Properties, 1986, v. 001  p. 0068, 60.97, , , 34.18, 4.85, 2719.0, , 
203, GB02-000688, Handbook of Glass Properties, 1986, v. 001  p. 0068, 61.06, , , 29.68, 9.25, 2694.0, , 
204, GB02-000689, Handbook of Glass Properties, 1986, v. 001  p. 0068, 61.46, , , 10.77, 27.77, 2575.0, , 
205, GB02-000690, Handbook of Glass Properties, 1986, v. 001  p. 0068, 60.09, , , 29.98, 9.93, 2702.0, , 
206, GB02-000691, Handbook of Glass Properties, 1986, v. 001  p. 0068, 59.16, , , 33.77, 7.06, 2729.0, , 
207, GB02-000692, Handbook of Glass Properties, 1986, v. 001  p. 0068, 59.47, , , 24.41, 16.11, 2672.0, , 
208, GB02-000693, Handbook of Glass Properties, 1986, v. 001  p. 0068, 59.52, , , 21.25, 19.22, 2657.0, , 
209, GB02-000694, Handbook of Glass Properties, 1986, v. 001  p. 0068, 57.9, , , 37.35, 4.74, 2761.0, , 
210, GB02-000695, Handbook of Glass Properties, 1986, v. 001  p. 0068, 59.6, , , 7.17, 33.23, 2562.0, , 
211, GB02-000696, Handbook of Glass Properties, 1986, v. 001  p. 0068, 57.78, , , 32.73, 9.48, 2733.0, , 
212, GB02-000697, Handbook of Glass Properties, 1986, v. 001  p. 0068, 58.62, , , 16.03, 25.35, 2618.0, , 
213, GB02-000698, Handbook of Glass Properties, 1986, v. 001  p. 0068, 57.92, , , 25.66, 16.42, 2692.0, , 
214, GB02-000699, Handbook of Glass Properties, 1986, v. 001  p. 0068, 57.13, , , 15.31, 27.56, 2626.0, , 
215, GB02-000700, Handbook of Glass Properties, 1986, v. 001  p. 0068, 56.32, , , 28.59, 15.09, 2712.0, , 
216, GB02-000701, Handbook of Glass Properties, 1986, v. 001  p. 0068, 57.27, , , 9.72, 33.0, 2588.0, , 
217, GB02-000702, Handbook of Glass Properties, 1986, v. 001  p. 0068, 55.86, , , 30.98, 13.16, 2735.0, , 
218, GB02-000703, Handbook of Glass Properties, 1986, v. 001  p. 0068, 56.37, , , 21.43, 22.19, 2665.0, , 
219, GB02-000704, Handbook of Glass Properties, 1986, v. 001  p. 0068, 51.04, , , 12.55, 36.41, 2641.0, , 
220, GB02-000705, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.01, , , 33.29, 16.69, 2761.0, , 
221, GB02-000706, Handbook of Glass Properties, 1986, v. 001  p. 0068, 49.5, , , 41.42, 9.07, 2820.0, , 
222, GB02-000707, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.03, , , 29.5, 20.47, 2741.0, , 
223, GB02-000708, Handbook of Glass Properties, 1986, v. 001  p. 0068, 50.49, , , 17.1, 32.41, 2670.0, , 
