Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
166, GB02-006622, Handbook of Glass Properties, 1986, v. 001  p. 0330, 76.95, , 8.16, , , 14.88, , , , 65.3
167, GB02-006702, Handbook of Glass Properties, 1986, v. 001  p. 0327, 85.04, , 7.12, , , , , , , 77.6
168, GB02-006703, Handbook of Glass Properties, 1986, v. 001  p. 0327, 81.75, , 10.53, , , , , , , 78.8
169, GB02-006704, Handbook of Glass Properties, 1986, v. 001  p. 0327, 78.54, , 13.85, , , , , , , 80.1
170, GB02-006705, Handbook of Glass Properties, 1986, v. 001  p. 0327, 75.43, , 17.06, , , , , , , 81.8
171, GB02-006706, Handbook of Glass Properties, 1986, v. 001  p. 0327, 72.41, , 20.19, , , , , , , 82.6
172, GB02-006707, Handbook of Glass Properties, 1986, v. 001  p. 0327, 76.99, , 9.33, , , , , , , 81.8
173, GB02-006708, Handbook of Glass Properties, 1986, v. 001  p. 0327, 75.01, , 12.73, , , , , , , 82.4
174, GB02-006709, Handbook of Glass Properties, 1986, v. 001  p. 0327, 69.64, , 21.94, , , , , , , 83.0
175, GB02-006710, Handbook of Glass Properties, 1986, v. 001  p. 0327, 68.02, , 24.73, , , , , , , 82.8
176, GB02-006711, Handbook of Glass Properties, 1986, v. 001  p. 0327, 66.6, , 26.2, , , , , , , 82.8
177, GB02-006712, Handbook of Glass Properties, 1986, v. 001  p. 0327, 63.65, , 31.3, , , , , , , 87.0
178, GB02-006713, Handbook of Glass Properties, 1986, v. 001  p. 0327, 63.81, , 29.09, , , , , , , 84.6
179, GB02-006714, Handbook of Glass Properties, 1986, v. 001  p. 0327, 70.43, , 16.3, , , , , , , 84.5
180, GB02-006715, Handbook of Glass Properties, 1986, v. 001  p. 0327, 61.06, , 32.96, , , , , , , 81.2
181, GB02-006716, Handbook of Glass Properties, 1986, v. 001  p. 0327, 76.65, , 4.0, , , , , , , 82.4
182, GB02-006717, Handbook of Glass Properties, 1986, v. 001  p. 0327, 74.54, , 7.78, , , , , , , 83.0
183, GB02-006718, Handbook of Glass Properties, 1986, v. 001  p. 0327, 72.54, , 11.36, , , , , , , 83.8
184, GB02-006719, Handbook of Glass Properties, 1986, v. 001  p. 0327, 70.65, , 14.75, , , , , , , 84.2
185, GB02-006720, Handbook of Glass Properties, 1986, v. 001  p. 0327, 68.86, , 17.97, , , , , , , 85.3
186, GB02-006721, Handbook of Glass Properties, 1986, v. 001  p. 0327, 67.15, , 21.03, , , , , , , 85.2
187, GB02-006722, Handbook of Glass Properties, 1986, v. 001  p. 0327, 65.52, , 23.95, , , , , , , 85.7
188, GB02-006723, Handbook of Glass Properties, 1986, v. 001  p. 0327, 63.98, , 26.72, , , , , , , 84.3
189, GB02-006724, Handbook of Glass Properties, 1986, v. 001  p. 0327, 62.86, , 28.72, , , , , , , 84.5
190, GB02-006725, Handbook of Glass Properties, 1986, v. 001  p. 0327, 62.5, , 29.37, , , , , , , 84.9
191, GB02-006726, Handbook of Glass Properties, 1986, v. 001  p. 0327, 61.09, , 31.9, , , , , , , 87.5
192, GB02-006727, Handbook of Glass Properties, 1986, v. 001  p. 0327, 59.75, , 34.31, , , , , , , 88.8
193, GB02-006728, Handbook of Glass Properties, 1986, v. 001  p. 0327, 72.08, , 9.71, , , , , , , 84.2
194, GB02-006729, Handbook of Glass Properties, 1986, v. 001  p. 0327, 59.78, , 32.2, , , , , , , 85.8
195, GB02-006730, Handbook of Glass Properties, 1986, v. 001  p. 0327, 58.45, , 34.63, , , , , , , 87.3
196, GB02-006731, Handbook of Glass Properties, 1986, v. 001  p. 0327, 58.44, , 33.59, , , , , , , 86.7
197, GB02-006732, Handbook of Glass Properties, 1986, v. 001  p. 0327, 66.89, , 16.75, , , , , , , 86.2
198, GB02-006733, Handbook of Glass Properties, 1986, v. 001  p. 0327, 58.44, , 32.51, , , , , , , 86.3
199, GB02-006734, Handbook of Glass Properties, 1986, v. 001  p. 0327, 57.76, , 32.67, , , , , , , 85.7
200, GB02-006735, Handbook of Glass Properties, 1986, v. 001  p. 0327, 59.89, , 24.96, , , , , , , 87.6
201, GB02-006736, Handbook of Glass Properties, 1986, v. 001  p. 0327, 47.69, , 40.46, , , , , , , 82.5
