Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
12737, GP03-371057, US Patent    Corning Inc. (US), 2016, A0168014, 61.75, 1.66, 19.54, 2.16, 4.75, , , , , 82.7
12738, GP03-371058, US Patent    Corning Inc. (US), 2016, A0168014, 61.2, 1.78, 19.77, 3.02, 4.2, , , , , 83.7
12739, GP03-371059, US Patent    Corning Inc. (US), 2016, A0168014, 61.25, 1.62, 19.76, 3.11, 4.27, , , , , 83.7
12740, GP03-371060, US Patent    Corning Inc. (US), 2016, A0168014, 61.22, 1.76, 19.89, 2.38, 4.67, , , , , 83.5
12741, GP03-371061, US Patent    Corning Inc. (US), 2016, A0168014, 60.95, 1.9, 20.08, 3.21, 3.36, , , , , 83.8
12742, GP03-371062, US Patent    Corning Inc. (US), 2016, A0168014, 61.12, 1.68, 19.71, 2.88, 4.0, , , , , 83.6
12743, GP03-371063, US Patent    Corning Inc. (US), 2016, A0168014, 62.11, 1.65, 19.41, 2.13, 4.7, , , , , 82.0
12744, GP03-371064, US Patent    Corning Inc. (US), 2016, A0168014, 61.27, 1.92, 19.56, 2.21, 3.98, , , , , 82.0
12745, GP03-371065, US Patent    Corning Inc. (US), 2016, A0168014, 61.43, 1.69, 19.36, 2.37, 4.27, , , , , 82.6
12746, GP03-371066, US Patent    Corning Inc. (US), 2016, A0168014, 60.89, 1.84, 19.97, 2.45, 4.3, , , , , 82.9
12747, GP03-371067, US Patent    Corning Inc. (US), 2016, A0168014, 61.26, 1.78, 19.52, 2.06, 3.94, , , , , 82.2
12748, GP03-371068, US Patent    Corning Inc. (US), 2016, A0168014, 63.3, 1.41, 18.98, 2.15, 4.33, , , , , 82.3
12749, GP03-371069, US Patent    Corning Inc. (US), 2016, A0168014, 63.02, 1.3, 17.48, 2.87, 4.32, , , , , 82.6
12750, GP03-371070, US Patent    Corning Inc. (US), 2016, A0168014, 61.37, 2.25, 19.0, 2.15, 4.03, , , , , 80.3
12751, GP03-371071, US Patent    Corning Inc. (US), 2016, A0168014, 62.65, 1.99, 18.42, 2.28, 4.25, , , , , 81.3
12752, GP03-371072, US Patent    Corning Inc. (US), 2016, A0168014, 62.71, 0.93, 16.87, 3.36, 4.49, , , , , 82.4
12753, GP03-371073, US Patent    Corning Inc. (US), 2016, A0168014, 62.85, 1.58, 17.56, 2.63, 4.53, , , , , 81.9
12754, GP03-371074, US Patent    Corning Inc. (US), 2016, A0168014, 64.28, 1.64, 18.81, 2.57, 4.62, , , , , 82.3
12755, GP03-371075, US Patent    Corning Inc. (US), 2016, A0168014, 63.04, 1.72, 18.81, 2.3, 4.13, , , , , 82.14
12756, GP03-371076, US Patent    Corning Inc. (US), 2016, A0168014, 64.96, 0.24, 17.01, 3.99, 3.04, , , , , 84.2
12757, GP03-371077, US Patent    Corning Inc. (US), 2016, A0168014, 63.12, 1.42, 18.03, 2.59, 4.43, , , , , 82.4
12758, GP03-371078, US Patent    Corning Inc. (US), 2016, A0168014, 62.57, 2.67, 18.47, 2.08, 4.42, , , , , 81.2
12759, GP03-371079, US Patent    Corning Inc. (US), 2016, A0168014, 62.62, 2.66, 18.82, 2.22, 3.96, , , , , 81.5
12760, GP03-371080, US Patent    Corning Inc. (US), 2016, A0168014, 62.02, 1.7, 19.47, 3.05, 3.31, , , , , 82.9
12761, GP03-371081, US Patent    Corning Inc. (US), 2016, A0168014, 62.24, 2.38, 19.17, 2.42, 5.08, , , , , 82.4
12762, GP03-371082, US Patent    Corning Inc. (US), 2016, A0168014, 62.66, 2.1, 19.15, 2.28, 5.33, , , , , 82.3
12763, GP03-371083, US Patent    Corning Inc. (US), 2016, A0168014, 65.01, 0.2, 17.14, 4.17, 3.53, , , , , 83.8
12764, GP03-371084, US Patent    Corning Inc. (US), 2016, A0168014, 65.74, 0.43, 16.64, 4.53, 2.71, , , , , 84.5
12765, GP03-371085, US Patent    Corning Inc. (US), 2016, A0168014, 65.18, 0.21, 17.1, 3.65, 3.23, , , , , 84.0
12766, GP03-371086, US Patent    Corning Inc. (US), 2016, A0168014, 62.82, 1.25, 18.85, 2.78, 4.54, , , , , 83.35
12767, GP03-371087, US Patent    Corning Inc. (US), 2016, A0168014, 63.47, 0.96, 18.68, 2.69, 4.19, , , , , 83.0
12768, GP03-371088, US Patent    Corning Inc. (US), 2016, A0168014, 64.15, 0.44, 18.15, 3.15, 3.97, , , , , 83.5
12769, GP03-371089, US Patent    Corning Inc. (US), 2016, A0168014, 63.1, 0.55, 18.72, 2.96, 4.16, , , , , 83.8
12770, GP03-371090, US Patent    Corning Inc. (US), 2016, A0168014, 62.19, 1.9, 18.56, 2.62, 4.23, , , , , 83.3
12771, GP03-371227, Japanese Patent    AGC (J), 2016, A047794, 64.45, 0.72, 17.95, 1.85, 6.31, , , , , 82.4
12772, GP03-371228, Japanese Patent    AGC (J), 2016, A047794, 62.55, 0.62, 19.0, 3.01, 7.19, , , , , 84.6
12773, GP03-371229, Japanese Patent    AGC (J), 2016, A047794, 68.43, 0.43, 16.65, 2.77, 6.25, , , , , 83.1
12774, GP03-371233, Japanese Patent    AGC (J), 2016, A047794, 63.41, 1.02, 17.21, 1.89, 6.25, , , , , 82.1
12775, GP03-371234, Japanese Patent    AGC (J), 2016, A047794, 62.32, 1.65, 18.46, 2.63, 6.57, , , , , 83.1
12776, GP03-371235, Japanese Patent    AGC (J), 2016, A047794, 64.52, 0.31, 16.75, 1.95, 5.18, , , , , 82.2
12777, GP03-371236, Japanese Patent    AGC (J), 2016, A047794, 63.31, 1.32, 17.46, 1.83, 5.66, , , , , 81.7
12778, GP03-371311, Japanese Patent    Corning Inc. (US), 2016, A052987, 64.18, 4.78, 16.75, 0.9, 4.09, , , , , 77.8
12779, GP06-371312, Japanese Patent    Corning Inc. (US), 2016, A052987, 63.26, 5.07, 18.6, 1.27, 4.15, , , , , 78.6
12780, GP03-371313, Japanese Patent    Corning Inc. (US), 2016, A052987, 65.11, 1.96, 18.88, 2.39, 4.51, , , , , 83.6
12781, GP03-371314, Japanese Patent    Corning Inc. (US), 2016, A052987, 64.65, 2.07, 19.08, 2.65, 5.16, , , , , 83.6
12782, GP03-371315, Japanese Patent    Corning Inc. (US), 2016, A052987, 65.94, 3.56, 17.7, 1.83, 7.24, , , , , 81.4
12783, GP03-371316, Japanese Patent    Corning Inc. (US), 2016, A052987, 66.77, 3.27, 17.31, 2.19, 6.35, , , , , 81.0
12784, GP03-371317, Japanese Patent    Corning Inc. (US), 2016, A052987, 66.07, , 19.87, 3.46, 4.75, , , , , 84.8
12785, GP03-371318, Japanese Patent    Corning Inc. (US), 2016, A052987, 67.55, 3.33, 16.84, 1.33, 5.7, , , , , 79.6
12786, GP03-371319, Japanese Patent    Corning Inc. (US), 2016, A052987, 62.47, 2.58, 18.46, 2.13, 4.28, , , , , 81.0
12787, GP03-371320, Japanese Patent    Corning Inc. (US), 2016, A052987, 61.03, 2.48, 19.03, 1.94, 3.69, , , , , 80.7
12788, GP06-371555, Japanese Patent    Nippon Electric Glass (J), 2016, A113341, 65.7, , 22.1, , , 0.5, 0.3, , , 80.0
12789, GP06-371556, Japanese Patent    Nippon Electric Glass (J), 2016, A113341, 65.36, , 22.15, 0.7, , 0.4, 0.3, , , 85.0
12790, GP03-371580, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.4, , 15.9, , 9.4, , , , , 82.1
12791, GP03-371581, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.39, , 15.9, , 7.4, , , , , 79.1
12792, GP03-371582, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.4, , 15.9, 1.0, 6.4, , , , , 79.9
12793, GP03-371583, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.41, , 15.9, 1.0, 5.4, , , , , 79.3
12794, GP03-371584, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.38, , 15.89, , 9.4, , , , , 80.0
12795, GP03-371585, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.39, , 15.91, , 8.4, , , , , 80.0
12796, GP03-371586, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.39, , 15.9, , 7.4, , , , , 80.3
12797, GP03-371587, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.39, , 15.89, , 7.4, , , , , 79.9
12798, GP03-371588, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.41, , 15.9, 4.0, 1.4, , , , , 78.8
12799, GP03-371589, Japanese Patent    Nippon Electric Glass (J), 2016, A113361, 63.9, 0.3, 17.0, 1.78, 5.85, , , , , 81.4
12800, GP03-371628, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 59.7, 10.3, 16.5, 0.3, 8.0, , , , , 73.0
12801, GP06-371629, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 62.6, 6.2, 19.0, 0.8, 7.2, , , , , 77.0
12802, GP03-371630, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 64.1, 0.3, 16.9, 1.8, 5.9, , , , , 80.0
12803, GP03-371631, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 62.24, 10.49, 17.48, 1.4, 7.59, , , , , 73.0
12804, GP03-371632, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 62.5, 2.5, 18.5, 2.1, 4.3, , , , , 79.0
12805, GP03-371633, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 59.7, 7.96, 17.41, 2.89, 3.98, , , , , 76.0
12806, GP03-371634, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 61.3, 2.41, 19.6, 5.13, 4.42, , , , , 85.0
12807, GP03-371635, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 59.64, 10.29, 16.68, , 7.09, , , , , 72.0
12808, GP03-371636, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 60.88, 7.72, 16.45, 2.81, 8.43, , , , , 76.0
12809, GP03-371637, Japanese Patent    Nippon Electric Glass (J), 2016, A117641, 61.57, 1.6, 19.72, 2.5, 4.6, , , , , 83.0
12810, GP02-371638, Japanese Patent    AGC (J), 2016, A117648, 63.33, , 8.95, 5.15, , 6.83, 6.92, , , 81.7
12811, GP02-371639, Japanese Patent    AGC (J), 2016, A117648, 63.02, , 8.91, 5.13, , , 12.73, , , 78.9
12812, GP02-371640, Japanese Patent    AGC (J), 2016, A117648, 63.04, , 8.91, 5.13, , 10.05, 5.09, , , 80.4
12813, GP02-371641, Japanese Patent    AGC (J), 2016, A117648, 61.81, , 12.49, 6.06, , 11.44, , , , 85.8
12814, GP02-371642, Japanese Patent    AGC (J), 2016, A117648, 62.43, , 12.62, 6.78, , 11.55, , , , 84.5
12815, GP02-371643, Japanese Patent    AGC (J), 2016, A117648, 62.89, , 12.71, 6.83, , 11.63, , , , 84.3
12816, GP02-371644, Japanese Patent    AGC (J), 2016, A117648, 61.43, , 12.41, 5.04, , 11.37, , , , 85.2
12817, GP02-371646, Japanese Patent    AGC (J), 2016, A117648, 63.01, , 13.36, 6.08, , 11.68, , , , 83.7
12818, GP02-371648, Japanese Patent    AGC (J), 2016, A117649, 59.5, , 14.2, 4.05, 4.77, 4.32, 7.29, , , 81.8
12819, GP02-371649, Japanese Patent    AGC (J), 2016, A117649, 58.65, , 13.99, 4.0, 4.28, 0.95, 11.5, , , 80.4
12820, GP03-371650, Japanese Patent    AGC (J), 2016, A117649, 59.28, , 14.14, 4.22, 4.58, 2.39, 8.7, , , 82.0
12821, GP02-371651, Japanese Patent    AGC (J), 2016, A117649, 56.77, , 13.98, 4.3, 2.56, 2.36, 8.61, , , 83.3
12822, GP02-371652, Japanese Patent    AGC (J), 2016, A117649, 64.12, , 11.99, 4.11, 3.51, 9.13, 3.24, , , 78.8
12823, GP02-371653, Japanese Patent    AGC (J), 2016, A117649, 62.7, , 12.32, 4.74, 3.52, 8.46, 3.25, , , 81.0
12824, GP02-371654, Japanese Patent    AGC (J), 2016, A117649, 63.09, , 12.34, 4.43, 3.97, 8.47, 3.26, , , 79.8
12825, GP03-371655, Japanese Patent    AGC (J), 2016, A117649, 60.93, , 12.25, 4.72, 3.5, 8.99, 1.47, , , 81.3
12826, GP03-371656, Japanese Patent    AGC (J), 2016, A117649, 62.14, , 11.98, 4.74, 3.52, 6.8, 3.69, , , 82.3
12827, GP03-371657, Japanese Patent    AGC (J), 2016, A117649, 63.06, , 9.1, 4.9, 5.46, 10.05, 0.31, , , 85.4
12828, GP02-371684, Japanese Patent    Corning Inc. (US), 2016, A504985, 59.45, 5.16, 20.97, 1.46, , 12.75, , , , 68.5446
12829, GP02-371685, Japanese Patent    Corning Inc. (US), 2016, A504985, 60.09, 4.87, 20.57, 1.47, , 12.79, , , , 68.7792
12830, GP02-371686, Japanese Patent    Corning Inc. (US), 2016, A504985, 60.63, 4.23, 20.58, 1.47, , 12.88, , , , 68.7447
12831, GP02-371687, Japanese Patent    Corning Inc. (US), 2016, A504985, 60.98, 4.24, 20.33, 1.41, , 12.83, , , , 69.1656
12832, GP02-371688, Japanese Patent    Corning Inc. (US), 2016, A504985, 61.42, 4.03, 20.03, 1.47, , 12.84, , , , 69.0276
12833, GP06-371689, Japanese Patent    Corning Inc. (US), 2016, A504985, 57.2, 4.12, 22.2, , 0.04, 12.39, 0.28, , , 69.0276
12834, GP06-371690, Japanese Patent    Corning Inc. (US), 2016, A504985, 57.52, 7.23, 22.31, , 0.04, 12.46, 0.28, , , 69.0276
12835, GP06-371691, Japanese Patent    Corning Inc. (US), 2016, A504985, 57.78, 6.22, 22.41, 0.6, 0.04, 12.51, 0.28, , , 69.0276
12836, GP02-371692, Japanese Patent    Corning Inc. (US), 2016, A504985, 57.69, 7.3, 21.25, 0.006004, 0.05, 12.77, 0.72, , , 69.0276
12837, GP06-371693, Japanese Patent    Corning Inc. (US), 2016, A504985, 58.75, 3.14, 23.01, 1.82, , 12.96, 0.14, , , 69.0276
12838, GP02-371694, Japanese Patent    Corning Inc. (US), 2016, A504986, 60.13, , 22.55, 3.15, , 14.17, , , , 73.6299
12839, GP02-371695, Japanese Patent    Corning Inc. (US), 2016, A504986, 59.09, 5.2, 22.05, , , 13.66, , , , 65.3637
12840, GP02-371696, Japanese Patent    Corning Inc. (US), 2016, A504986, 56.26, , 20.77, , , 13.09, , , , 65.6466
12841, GP02-371697, Japanese Patent    Corning Inc. (US), 2016, A504986, 46.95, , 19.63, , , 12.1, , , , 62.4381
12842, GP06-371698, Japanese Patent    Corning Inc. (US), 2016, A504986, 49.34, 4.74, 20.83, , , 12.63, , , , 61.3893
12843, GP02-371699, Japanese Patent    Corning Inc. (US), 2016, A504986, 53.6, 4.93, 21.59, , , 13.17, , , , 65.4741
12844, GP06-371701, Japanese Patent    Corning Inc. (US), 2016, A504986, 57.75, 5.32, 21.07, 1.46, , 12.7, , , , 65.205
12845, GP03-371718, Japanese Patent    Corning Inc. (US), 2016, A505502, 64.18, 4.78, 16.75, 0.9, 4.09, , , , , 77.8
12846, GP03-371719, Japanese Patent    Corning Inc. (US), 2016, A505502, 63.92, 4.93, 18.37, 1.77, 4.18, , , , , 79.2
12847, GP03-371720, Japanese Patent    Corning Inc. (US), 2016, A505502, 64.65, 2.07, 19.08, 2.65, 5.16, , , , , 83.6
12848, GP03-371721, Japanese Patent    Corning Inc. (US), 2016, A505502, 65.94, 3.56, 17.7, 1.83, 7.24, , , , , 81.4
12849, GP03-371722, Japanese Patent    Corning Inc. (US), 2016, A505502, 66.77, 3.27, 17.31, 2.19, 6.35, , , , , 81.0
12850, GP03-371723, Japanese Patent    Corning Inc. (US), 2016, A505502, 66.07, , 19.87, 3.46, 4.75, , , , , 84.8
12851, GP03-371724, Japanese Patent    Corning Inc. (US), 2016, A505502, 67.55, 3.33, 16.84, 1.33, 5.7, , , , , 79.6
12852, GP03-371725, Japanese Patent    Corning Inc. (US), 2016, A505502, 61.59, 4.71, 19.51, 2.66, 5.43, , , , , 81.8
12853, GP03-371726, Japanese Patent    Corning Inc. (US), 2016, A505502, 65.04, 0.99, 19.09, 2.72, 4.69, , , , , 84.8
12854, GP03-371727, Japanese Patent    Corning Inc. (US), 2016, A505502, 62.69, 1.54, 19.72, 2.88, 4.76, , , , , 84.1
12855, GP03-371771, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 58.98, , 18.04, 10.05, , 10.47, , , , 83.0
12856, GP03-371772, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 63.55, , 9.95, 9.18, 2.74, 8.07, , , , 84.0
12857, GP03-371773, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 64.42, , 8.34, 10.56, , 9.13, , , , 85.3
12858, GP03-371774, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 58.98, , 18.04, 10.05, , 10.47, , , , 83.4
12859, GP03-371775, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 62.58, , 17.76, 13.04, , 5.14, , , , 85.2
12860, GP03-371776, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 65.54, , 8.43, 11.33, 0.93, 7.17, , , , 86.5
12861, GP03-371777, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 64.48, , 8.35, 10.57, 0.92, 8.12, , , , 86.3
12862, GP03-371778, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 61.78, , 16.64, 11.18, 1.83, 6.07, , , , 86.4
12863, GP03-371779, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 64.56, , 10.11, 11.33, 1.02, 8.6, , , , 84.9
12864, GP03-371780, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 63.59, , 9.96, 11.15, 2.31, 8.88, , , , 85.8
12865, GP03-371781, Japanese Patent    AGC (J), 2013, AW172307, 61.1, 1.27, 20.33, 5.58, 4.53, 0.06, , , , 87.0
12866, GP03-371782, Japanese Patent    AGC (J), 2013, AW172307, 61.57, , 21.01, 6.03, 4.54, 0.04, , , , 88.0
12867, GP03-371803, Japanese Patent    AGC (J), 2013, AW180220, 61.25, 1.38, 20.2, 5.53, 4.53, , , , , 86.0
12868, GP03-371804, Japanese Patent    AGC (J), 2013, AW180220, 61.31, 0.96, 20.53, 5.72, 4.53, , , , , 87.0
12869, GP03-371805, Japanese Patent    AGC (J), 2013, AW180220, 61.59, , 21.03, 6.03, 4.54, , , , , 88.0
12870, GP03-371808, Japanese Patent    AGC (J), 2013, AW183539, 61.29, 1.17, 20.5, 5.65, 4.44, , , , , 87.0
12871, GP03-371809, Japanese Patent    AGC (J), 2013, AW183539, 61.62, , 21.01, 6.03, 4.53, , , , , 88.0
12872, GP03-371810, Japanese Patent    AGC (J), 2013, AW183569, 61.99, , 18.16, 4.19, 4.99, , , , , 84.0
12873, GP03-371811, Japanese Patent    AGC (J), 2013, AW183569, 61.44, , 21.01, 6.15, 4.28, , , , , 88.0
12874, GP03-371812, Japanese Patent    AGC (J), 2013, AW183569, 61.39, 1.06, 20.21, 5.53, 4.7, , , , , 87.0
12875, GP03-371813, Japanese Patent    AGC (J), 2013, AW183569, 62.26, , 20.65, 7.98, 4.11, , , , , 91.0
12876, GP03-371814, Japanese Patent    AGC (J), 2013, AW183569, 62.82, , 21.04, 4.68, 6.08, , , , , 91.0
12877, GP03-371815, Japanese Patent    AGC (J), 2013, AW183569, 61.23, 1.27, 21.15, 3.81, 7.96, , , , , 85.0
12878, GP03-371816, Japanese Patent    AGC (J), 2013, AW183625, 61.43, , 20.91, 6.0, 4.5, , , , , 88.0
12879, GP03-371822, Japanese Patent    AGC (J), 2013, AW183626, 60.68, 3.69, 19.3, 4.7, 4.25, , , , , 82.0
12880, GP03-371823, Japanese Patent    AGC (J), 2013, AW183626, 60.42, 5.05, 18.65, 4.21, 4.15, , , , , 81.0
12881, GP03-371824, Japanese Patent    AGC (J), 2013, AW183626, 61.62, 3.7, 19.67, 3.8, 5.54, , , , , 82.0
12882, GP03-371825, Japanese Patent    AGC (J), 2013, AW183626, 60.81, 3.3, 20.26, 5.54, 4.54, , , , , 81.0
12883, GP03-371826, Japanese Patent    AGC (J), 2013, AW183626, 61.51, 3.2, 21.12, 4.45, 6.54, , , , , 86.0
12884, GP03-371827, Japanese Patent    AGC (J), 2013, AW183626, 58.62, 3.04, 22.29, 4.07, 6.51, , , , , 86.0
12885, GP03-371828, Japanese Patent    AGC (J), 2013, AW183626, 61.53, 2.03, 21.79, 4.71, 7.07, , , , , 88.0
12886, GP03-371829, Japanese Patent    AGC (J), 2013, AW183626, 62.02, 2.04, 21.9, 5.67, 5.81, , , , , 86.0
12887, GP03-371832, Japanese Patent    AGC (J), 2013, AW183681, 57.52, 6.41, 18.64, 1.28, 6.14, , , , , 78.1
12888, GP03-371833, Japanese Patent    AGC (J), 2013, AW183681, 58.01, 6.04, 19.93, 0.71, 9.15, , , , , 80.4
12889, GP03-371834, Japanese Patent    AGC (J), 2013, AW183681, 60.2, 4.46, 19.89, 2.58, 6.93, , , , , 80.5
12890, GP03-371835, Japanese Patent    AGC (J), 2013, AW183681, 61.66, 4.56, 20.36, 2.7, 8.38, , , , , 80.3
12891, GP03-371836, Japanese Patent    AGC (J), 2013, AW183681, 58.08, 6.17, 18.83, 2.74, 6.46, , , , , 82.3
12892, GP03-371837, Japanese Patent    AGC (J), 2013, AW183681, 59.24, 6.61, 19.2, 1.49, 6.9, , , , , 78.4
12893, GP03-371838, Japanese Patent    AGC (J), 2013, AW183681, 59.55, 4.92, 19.07, 1.66, 7.1, , , , , 79.7
12894, GP03-371839, Japanese Patent    AGC (J), 2013, AW183681, 61.67, 3.68, 19.54, 2.68, 7.79, , , , , 80.4
12895, GJ02-372085, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 75.62, 7.66, 0.32, 4.16, , 11.86, , , , 73.5
12896, GJ02-372086, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 72.16, 6.69, 4.94, 3.97, , 11.87, , , , 73.8
12897, GJ02-372087, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 67.48, 7.06, 9.65, 3.77, , 11.68, , , , 71.6
12898, GJ02-372088, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 63.39, 6.69, 14.29, 3.78, , 11.49, , , , 71.3
12899, GJ02-372089, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 59.49, 6.45, 18.61, 3.67, , 11.43, , , , 69.5
12900, GJ06-372090, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 55.58, 6.52, 22.68, 3.68, , 11.22, , , , 71.4
12901, GJ06-372091, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 51.77, 6.3, 26.99, 3.61, , 11.02, , , , 74.2
12902, GJ06-372092, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 48.26, 6.12, 31.03, 3.48, , 10.78, , , , 76.6
12903, GJ06-372093, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 44.68, 6.23, 34.68, 3.48, , 10.63, , , , 76.8
12904, GJ02-372094, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 75.13, 6.77, 0.03, , 5.74, 11.98, , , , 77.0
12905, GJ02-372095, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 71.42, 6.36, 4.89, , 5.44, 11.55, , , , 75.7
12906, GJ02-372096, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 66.89, 7.28, 8.82, , 4.97, 11.68, , , , 74.9
12907, GJ02-372097, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 62.68, 6.48, 14.05, , 5.16, 11.28, , , , 74.6
12908, GJ02-372098, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 59.62, 6.52, 17.45, , 4.64, 11.42, , , , 71.4
12909, GJ06-372099, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 54.72, 6.42, 22.5, , 5.11, 10.93, , , , 71.9
12910, GJ06-372100, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 51.07, 6.15, 26.65, , 4.99, 10.83, , , , 72.5
12911, GJ06-372101, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 47.46, 6.16, 30.54, , 4.91, 10.63, , , , 75.0
12912, GJ06-372102, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 44.07, 6.1, 34.29, , 4.76, 10.46, , , , 77.1
12913, GJ02-372103, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 72.41, 6.14, 0.05, , , 11.5, , , , 76.1
12914, GJ02-372104, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 68.29, 6.13, 4.64, , , 11.16, , , , 76.5
12915, GJ02-372105, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 64.08, 6.12, 9.15, , , 11.05, , , , 75.2
12916, GJ02-372106, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 60.07, 6.16, 13.47, , , 10.92, , , , 74.4
12917, GJ02-372107, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 56.31, 6.03, 17.61, , , 10.81, , , , 73.8
12918, GJ06-372108, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 52.61, 6.11, 21.72, , , 10.59, , , , 72.4
12919, GJ06-372109, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 49.07, 6.01, 25.67, , , 10.41, , , , 71.5
12920, GJ06-372110, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 45.57, 5.91, 29.32, , , 10.21, , , , 73.2
12921, GJ06-372111, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 42.47, 5.78, 33.04, , , 10.12, , , , 74.0
12922, GJ02-372112, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 68.76, 6.24, 0.11, , , 11.23, , , , 74.6
12923, GJ02-372113, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 64.76, 6.05, 4.52, , , 10.74, , , , 75.6
12924, GJ02-372114, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 61.49, 5.92, 8.75, , , 10.31, , , , 76.1
12925, GJ02-372115, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 57.14, 5.98, 13.0, , , 10.49, , , , 74.5
12926, GJ02-372116, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 53.55, 5.75, 16.99, , , 10.35, , , , 73.4
12927, GJ06-372117, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 50.09, 5.8, 20.9, , , 10.14, , , , 71.5
12928, GJ06-372118, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 46.84, 5.67, 24.6, , , 9.97, , , , 69.9
12929, GJ06-372119, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 43.65, 5.6, 28.19, , , 9.81, , , , 72.2
12930, GJ06-372120, Physics and Chemistry of  Glasses, 2014, v. 055  p. 0018, 40.57, 5.66, 31.6, , , 9.63, , , , 74.1
12931, GJ03-373015, Bull. Materials Science, 2016, v. 039  p. 0365, 43.1, , 0.87, , 32.56, , , , , 92.16
