Search Condition
State,Glass
Composition
,Component Unit,mass%
,Numerical
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,Total of Main Components >=,90,%
Commercial Glass,null
Glass System,Alkali Silicate
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
Numerical
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, K2O, SO3, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
546, GP06-343411, US Patent    Corning Inc. (US), 2019, A0084869, 37.77, 29.8, 2.73, , , , , 0.95, , 
547, GP03-343412, US Patent    Corning Inc. (US), 2019, A0084869, 34.07, 12.99, 14.79, , , , , 0.844, , 
548, GP03-343413, US Patent    Corning Inc. (US), 2019, A0084869, 32.72, 17.55, 12.5, , , , , 0.864, , 
549, GP03-343414, US Patent    Corning Inc. (US), 2019, A0084869, 34.42, 10.54, 15.05, , , , , 0.837, , 
550, GP03-343415, US Patent    Corning Inc. (US), 2019, A0084869, 32.63, 11.17, 14.57, , , , , 0.851, , 
551, GP03-343416, US Patent    Corning Inc. (US), 2019, A0084869, 32.03, 12.17, 13.27, , , , , 0.88, , 
552, GP03-343417, US Patent    Corning Inc. (US), 2019, A0084869, 33.99, 11.76, 15.05, , , , , 0.855, , 
553, GP03-343418, US Patent    Corning Inc. (US), 2019, A0084869, 33.61, 14.2, 12.9, , , , , 0.836, , 
554, GP03-343419, US Patent    Corning Inc. (US), 2019, A0084869, 32.8, 11.31, 14.01, , , , , 0.839, , 
555, GP03-343420, US Patent    Corning Inc. (US), 2019, A0084869, 33.18, 20.05, 11.43, , , , , 0.898, , 
556, GP06-343421, US Patent    Corning Inc. (US), 2019, A0084869, 32.01, 24.34, 9.58, , , , , 0.961, , 
557, GP06-343422, US Patent    Corning Inc. (US), 2019, A0084869, 31.3, 26.27, 8.56, , , , , 0.893, , 
558, GP06-343423, US Patent    Corning Inc. (US), 2019, A0084869, 30.55, 30.33, 6.2, , , , , 0.933, , 
559, GP06-343424, US Patent    Corning Inc. (US), 2019, A0084869, 29.57, 34.19, 4.32, , , , , 0.929, , 
560, GP06-343425, US Patent    Corning Inc. (US), 2019, A0084869, 29.16, 36.22, 3.37, , , , , 0.913, , 
561, GP06-343426, US Patent    Corning Inc. (US), 2019, A0084869, 28.85, 37.63, 2.59, , , , , 0.947, , 
562, GP06-343427, US Patent    Corning Inc. (US), 2019, A0084869, 28.27, 40.55, 0.81, , , , , 0.965, , 
563, GP03-343428, US Patent    Corning Inc. (US), 2019, A0084869, 32.86, 13.76, 13.36, , , , , 0.846, , 
564, GP06-343429, US Patent    Corning Inc. (US), 2019, A0084869, 33.13, 18.75, 0.01, , , , , 0.805, , 
565, GP06-343430, US Patent    Corning Inc. (US), 2019, A0084869, 26.21, 20.92, 2.73, , , , , 0.837, , 
566, GP02-351387, Japanese Patent    Konica Minolta (J), 2011, AW037001, 68.13, 10.22, 3.01, 4.51, 2.0, 3.21, , 1.09, , 
567, GP02-351389, Japanese Patent    Konica Minolta (J), 2011, AW037001, 70.8, 4.99, , 3.19, 2.69, 2.19, , 1.27, , 
568, GP02-351392, Japanese Patent    Konica Minolta (J), 2011, AW037001, 65.63, 13.12, 6.77, , 3.23, 2.29, , 1.2, , 
569, GP02-351393, Japanese Patent    Konica Minolta (J), 2011, AW037001, 67.08, 11.62, 2.5, 4.1, 2.1, 3.7, , 1.19, , 
570, GJ03-352657, Physics and Chemistry of  Glasses, 2013, v. 054  p. 0104, 48.78, 15.6, 14.11, , , , , 0.68, , 
571, GP03-353768, US Patent    Hoya Corp. (J), 2013, A0343166, 64.71, 10.13, 11.35, , 9.24, , , 2.1, , 
572, GP03-353769, US Patent    Hoya Corp. (J), 2013, A0343166, 67.01, 6.79, 11.4, 0.93, 7.22, , , 1.7, , 
573, GP03-353770, US Patent    Hoya Corp. (J), 2013, A0343166, 59.81, 18.3, 12.82, , 6.57, , , 2.0, , 
574, GP03-353771, US Patent    Hoya Corp. (J), 2013, A0343166, 62.1, 16.73, 12.56, , 6.1, , , 2.55, , 
575, GP03-353772, US Patent    Hoya Corp. (J), 2013, A0343166, 65.54, 8.43, 11.33, 0.93, 7.17, , , 1.68, , 
576, GP03-353773, US Patent    Hoya Corp. (J), 2013, A0343166, 64.48, 8.35, 10.57, 0.92, 8.12, , , 1.39, , 
577, GP03-353774, US Patent    Hoya Corp. (J), 2013, A0343166, 61.78, 16.64, 11.18, 1.83, 6.07, , , 1.6, , 
578, GP03-353775, US Patent    Hoya Corp. (J), 2013, A0343166, 64.56, 10.11, 11.33, 1.02, 8.6, , , 1.58, , 
579, GP03-353776, US Patent    Hoya Corp. (J), 2013, A0343166, 63.59, 9.96, 11.15, 2.31, 8.88, , , 1.41, , 
580, GP03-353835, US Patent    Hoya Corp. (J), 2014, A0036644, 58.98, 18.04, 10.05, , 10.47, , , 0.81, , 
581, GP03-353836, US Patent    Hoya Corp. (J), 2014, A0036644, 58.09, 18.07, 10.39, , 10.98, , , 0.8, , 
582, GP03-353837, US Patent    Hoya Corp. (J), 2014, A0036644, 64.71, 10.13, 11.35, , 9.24, , , 2.1, , 
583, GP03-353838, US Patent    Hoya Corp. (J), 2014, A0036644, 59.81, 18.3, 12.82, , 6.57, , , 2.0, , 
584, GP03-353839, US Patent    Hoya Corp. (J), 2014, A0036644, 58.98, 18.04, 10.05, , 10.47, , , 2.6, , 
585, GP03-353840, US Patent    Hoya Corp. (J), 2014, A0036644, 62.1, 16.73, 12.56, , 6.1, , , 2.55, , 
586, GP03-353841, US Patent    Hoya Corp. (J), 2014, A0036644, 65.54, 8.43, 11.33, 0.93, 7.17, , , 1.68, , 
587, GP03-353842, US Patent    Hoya Corp. (J), 2014, A0036644, 64.62, 10.12, 11.0, 0.46, 9.23, , , 1.7, , 
588, GP03-353843, US Patent    Hoya Corp. (J), 2014, A0036644, 64.68, 10.13, 11.35, , 9.47, , , 1.74, , 
589, GP03-353844, US Patent    Hoya Corp. (J), 2014, A0036644, 63.59, 9.96, 11.15, 2.31, 8.88, , , 1.41, , 
590, GJ02-355689, J. Non-Crystalline Solids, 2015, v. 409  p. 0126, 71.25, 2.56, 3.96, 6.37, 13.77, 1.1, , 0.8, 0.9588481632530121, -0.1588481632530121
591, GP03-357268, US Patent    Hoya Corp. (J), 2014, A0334276, 58.98, 18.04, 10.05, , 10.47, , , 0.81, , 
592, GP03-357269, US Patent    Hoya Corp. (J), 2014, A0334276, 58.09, 18.07, 10.39, , 10.98, , , 0.8, , 
593, GP03-357270, US Patent    Hoya Corp. (J), 2014, A0334276, 63.55, 9.95, 9.18, 2.74, 8.07, , , 1.8, , 
594, GP03-357271, US Patent    Hoya Corp. (J), 2014, A0334276, 59.81, 18.3, 12.82, , 6.57, , , 1.95, , 
595, GP03-357274, US Patent    Hoya Corp. (J), 2014, A0334276, 64.48, 8.35, 10.57, 0.92, 8.12, , , 1.39, , 
596, GP03-357275, US Patent    Hoya Corp. (J), 2014, A0334276, 61.78, 16.64, 11.18, 1.83, 6.07, , , 1.6, , 
597, GP03-357276, US Patent    Hoya Corp. (J), 2014, A0334276, 64.56, 10.11, 11.33, 1.02, 8.6, , , 1.58, , 
598, GP03-357277, US Patent    Hoya Corp. (J), 2014, A0334276, 63.59, 9.96, 11.15, 2.31, 8.88, , , 1.41, , 
599, GJ02-359437, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 73.64, 2.57, 0.67, 9.18, 13.86, , , 0.8, 0.7967542982181507, 0.0032457017818493528
600, GJ02-359438, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 72.85, 2.51, 1.26, 9.58, 13.69, , , 0.82, 0.7877292600160394, 0.03227073998396057
601, GJ02-359439, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 72.31, 2.58, 2.0, 9.72, 13.31, , , 0.82, , 
602, GJ02-359440, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 70.93, 2.59, 2.57, 9.73, 13.9, , 0.2, 0.89, 0.6729272646596327, 0.2170727353403673
603, GJ02-359441, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 70.14, 2.58, 3.26, 9.62, 14.29, , , 0.85, 0.7626102792886172, 0.08738972071138273
604, GJ02-359442, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 69.67, 2.64, 3.93, 9.74, 13.91, , , 0.88, 0.7543809943430789, 0.12561900565692108
605, GJ02-359443, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 69.03, 2.5, 4.6, 9.84, 13.91, , , 0.8, 0.7471194627011514, 0.05288053729884867
606, GJ02-359445, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 73.83, 2.53, 1.9, 7.7, 14.01, , , 0.78, 0.80557416701116, -0.02557416701116
607, GJ02-359446, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 73.14, 2.61, 1.93, 8.69, 13.51, , , 0.83, 0.8005755406055624, 0.029424459394437608
608, GJ02-359447, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 72.31, 2.58, 2.0, 9.72, 13.31, , , 0.82, , 
609, GJ02-359448, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 71.17, 2.57, 1.99, 10.69, 13.5, , , 0.89, 0.7533664239974138, 0.1366335760025862
610, GJ02-359449, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 70.38, 2.53, 1.93, 11.48, 13.6, , , 0.9, 0.7376451904724242, 0.16235480952757586
611, GJ02-359450, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 69.21, 2.59, 1.93, 12.49, 13.7, , , 0.86, 0.7164675834217894, 0.1435324165782106
612, GJ02-359451, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 68.29, 2.52, 1.93, 13.43, 13.7, , , 0.95, 0.7051332654419018, 0.24486673455809815
613, GJ02-359452, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 71.93, 2.13, 0.67, 11.3, 13.89, , , 0.86, 0.7549630660886114, 0.10503693391138857
614, GJ02-359453, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 72.31, 2.58, 2.0, 9.72, 13.31, , , 0.82, 0.7737720216470308, 0.0462279783529691
615, GJ02-359454, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 73.34, 2.02, 3.22, 7.72, 13.59, , , 0.73, 0.8065580646234639, -0.07655806462346393
616, GJ02-359455, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 74.02, 2.01, 4.53, 5.86, 13.5, , , 0.78, 0.8261951141789468, -0.04619511417894673
617, GJ02-359456, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 73.98, 2.11, 6.08, 3.92, 13.8, , , 0.76, 0.851916841423711, -0.09191684142371104
618, GJ02-359457, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 73.91, 2.19, 7.57, 1.94, 14.3, , , 0.78, 0.8707544829611978, -0.09075448296119781
619, GP03-360031, Japanese Patent    Hoya Corp. (J), 2015, A054794, 58.98, 18.04, 10.05, , 10.47, , , 0.81, , 
620, GP03-360032, Japanese Patent    Hoya Corp. (J), 2015, A054794, 63.55, 9.95, 9.18, 2.74, 8.07, , , 1.8, , 
621, GP03-360033, Japanese Patent    Hoya Corp. (J), 2015, A054794, 63.96, 8.22, 10.4, , 8.99, , , 1.75, , 
622, GP03-360034, Japanese Patent    Hoya Corp. (J), 2015, A054794, 58.49, 17.89, 10.29, , 10.88, , , 2.55, , 
623, GP03-360035, Japanese Patent    Hoya Corp. (J), 2015, A054794, 64.48, 8.35, 10.57, 0.92, 8.12, , , 1.39, , 
624, GP03-360036, Japanese Patent    Hoya Corp. (J), 2015, A054794, 61.78, 16.64, 11.18, 1.83, 6.07, , , 1.6, , 
625, GP03-360037, Japanese Patent    Hoya Corp. (J), 2015, A054794, 64.56, 10.11, 11.33, 1.02, 8.6, , , 1.58, , 
626, GP03-360446, Japanese Patent    Hoya Corp. (J), 2015, A096465, 63.8, , 2.0, 7.9, 1.1, 14.8, , 1.05, , 
627, GP03-360447, Japanese Patent    Hoya Corp. (J), 2015, A096465, 68.0, , 2.1, 7.3, 1.1, 7.1, , 1.18, , 
628, GP03-360449, Japanese Patent    Hoya Corp. (J), 2015, A096465, 60.2, 1.2, 4.5, 12.3, 3.1, 9.3, , 0.93, , 
629, GP03-360452, Japanese Patent    Hoya Corp. (J), 2015, A096465, 62.5, 0.8, 4.1, 11.3, 3.4, 9.0, , 1.18, , 
630, GP03-360453, Japanese Patent    Hoya Corp. (J), 2015, A096465, 66.5, , 2.8, 12.0, 3.6, 8.0, , 0.88, , 
631, GP06-361323, US Patent    Corning Inc. (US), 2015, A0064474, 50.38, 20.66, 1.64, , 13.52, , , 0.75, , 
632, GP06-361324, US Patent    Corning Inc. (US), 2015, A0064474, 45.11, 20.86, 0.2, 2.78, 12.29, 0.58, , 0.737, , 
633, GJ02-361502, Int. J. Applied Glass Science, 2014, v. 005  p. 0334, 73.21, 1.45, 0.08, 10.28, 14.71, 0.009998, 0.009998, 1.06, 0.8019639000364448, 0.25803609996355525
634, GP02-367216, European Patent    Corning Inc. (US), 2015, AW031427, 49.51, 22.25, 1.7, 0.05, 14.04, , , 0.684, , 
635, GP02-367217, European Patent    Corning Inc. (US), 2015, AW031427, 45.11, 20.86, 0.2, 2.78, 12.29, 0.58, , 0.737, , 
636, GP06-367587, European Patent    Corning Inc. (US), 2015, AW126806, 52.74, 14.92, , , 9.07, , , 0.875, , 
637, GJ06-367972, Int. J. Applied Glass Science, 2015, v. 006  p. 0210, 57.76, 32.67, , , , , , 1.0, , 
638, GJ06-367975, Int. J. Applied Glass Science, 2015, v. 006  p. 0210, 52.37, 29.62, , , 18.01, , , 0.57, , 
639, GJ06-367977, Int. J. Applied Glass Science, 2015, v. 006  p. 0210, 52.37, 29.62, , , 18.01, , , 0.93, 0.8704440707264455, 0.059555929273554575
640, GJ03-368032, J. Ceramic Soc. Japan, 2015, v. 123  p. 0485, 53.0, , 5.0, 20.0, 6.0, 12.0, , 1.05, , 
641, GJ02-368433, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 74.03, , , 10.47, 15.5, , , 0.69, 0.7672297901069342, -0.0772297901069342
642, GJ02-368434, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 73.78, , , 9.13, 15.23, , , 0.71, , 
643, GJ02-368435, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 74.61, , , 5.06, 15.87, , , 0.74, , 
644, GJ02-368436, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 76.57, , , 0.55, 15.73, , , 0.75, , 
645, GJ02-368437, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 69.65, , , 13.05, 15.04, , , 0.68, , 
646, GJ02-368438, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 68.03, , , 13.01, 14.99, , , 0.67, , 
647, GJ02-368439, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 66.25, , , 12.27, 15.3, , , 0.65, , 
648, GJ02-368440, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 64.79, , , 12.13, 15.23, , , 0.63, , 
649, GJ02-368441, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 61.42, , , 12.69, 15.23, , , 0.63, , 
650, GJ02-368442, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 59.62, , , 12.53, 15.05, , , 0.61, , 
651, GJ02-368443, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 71.42, , , 11.27, 14.92, , , 0.72, , 
652, GJ02-368444, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 70.85, , , 9.34, 15.33, , , 0.71, , 
653, GJ02-368445, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 71.06, , , 6.69, 15.6, , , 0.68, , 
654, GJ02-368446, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 70.11, , , 4.64, 15.79, , , 0.68, , 
655, GJ02-368447, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 69.09, , , 2.25, 16.22, , , 0.67, , 
656, GJ02-368448, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 68.27, , , 0.36, 16.1, , , 0.67, , 
657, GP03-369584, US Patent    AGC (J), 2015, A0321942, 70.6, 1.1, 5.9, 9.2, 12.5, 0.7, , 0.75, 0.7402053793768685, 0.009794620623131522
658, GP03-371771, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 58.98, 18.04, 10.05, , 10.47, , , 0.81, , 
659, GP03-371772, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 63.55, 9.95, 9.18, 2.74, 8.07, , , 2.1, , 
660, GP03-371773, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 64.42, 8.34, 10.56, , 9.13, , , 1.75, , 
661, GP03-371774, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 58.98, 18.04, 10.05, , 10.47, , , 2.6, , 
662, GP03-371775, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 62.58, 17.76, 13.04, , 5.14, , , 1.33, , 
663, GP03-371776, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 65.54, 8.43, 11.33, 0.93, 7.17, , , 1.68, , 
664, GP03-371777, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 64.48, 8.35, 10.57, 0.92, 8.12, , , 1.39, , 
665, GP03-371778, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 61.78, 16.64, 11.18, 1.83, 6.07, , , 1.6, , 
666, GP03-371779, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 64.56, 10.11, 11.33, 1.02, 8.6, , , 1.58, , 
667, GP03-371780, Japanese Patent    Hoya Corp. (J), 2013, AW172247, 63.59, 9.96, 11.15, 2.31, 8.88, , , 1.41, , 
668, GJ02-374020, J. Non-Crystalline Solids, 2018, v. 481  p. 0457, 72.2, 3.4, , , , 3.2, , 0.82, , 
669, GP03-374788, US Patent    Hoya Corp. (J), 2016, A0225396, 58.98, 18.04, 10.05, , 10.47, , , 0.81, , 
670, GP03-374789, US Patent    Hoya Corp. (J), 2016, A0225396, 58.09, 18.07, 10.39, , 10.98, , , 0.8, , 
671, GP03-374790, US Patent    Hoya Corp. (J), 2016, A0225396, 64.71, 10.13, 11.35, , 9.24, , , 2.1, , 
672, GP03-374791, US Patent    Hoya Corp. (J), 2016, A0225396, 63.55, 9.95, 9.18, 2.74, 8.07, , , 1.8, , 
673, GP03-374792, US Patent    Hoya Corp. (J), 2016, A0225396, 67.01, 6.79, 11.4, 0.93, 7.22, , , 1.7, , 
674, GP03-374793, US Patent    Hoya Corp. (J), 2016, A0225396, 63.96, 8.22, 10.4, , 8.99, , , 1.75, , 
675, GP03-374794, US Patent    Hoya Corp. (J), 2016, A0225396, 59.32, 18.15, 13.04, , 7.02, , , 1.95, , 
676, GP03-374795, US Patent    Hoya Corp. (J), 2016, A0225396, 58.49, 17.89, 10.29, , 10.88, , , 2.6, , 
677, GP03-374796, US Patent    Hoya Corp. (J), 2016, A0225396, 62.1, 16.73, 12.56, , 6.1, , , 2.55, , 
678, GP03-374797, US Patent    Hoya Corp. (J), 2016, A0225396, 65.54, 8.43, 11.33, 0.93, 7.17, , , 1.68, , 
679, GP03-374798, US Patent    Hoya Corp. (J), 2016, A0225396, 64.62, 10.12, 11.0, 0.46, 9.23, , , 1.7, , 
680, GP03-374799, US Patent    Hoya Corp. (J), 2016, A0225396, 61.78, 16.64, 11.18, 1.83, 6.07, , , 1.6, , 
681, GP03-374800, US Patent    Hoya Corp. (J), 2016, A0225396, 64.68, 10.13, 11.35, , 9.47, , , 1.74, , 
682, GP03-374801, US Patent    Hoya Corp. (J), 2016, A0225396, 64.56, 10.11, 11.33, 1.02, 8.6, , , 1.58, , 
683, GP03-374802, US Patent    Hoya Corp. (J), 2016, A0225396, 64.19, 10.06, 11.26, 1.48, 8.76, , , 1.41, , 
684, GP03-374803, US Patent    Hoya Corp. (J), 2016, A0225396, 63.59, 9.96, 11.15, 2.31, 8.88, , , 1.41, , 
685, GJ02-381585, Ceramics - Silikaty, 2011, v. 055  p. 0214, 72.35, 1.9, 4.01, 6.71, 15.03, , , 0.75, , 
686, GJ02-381635, Ceramics - Silikaty, 2013, v. 057  p. 0039, 72.35, 1.9, 4.01, 6.71, 15.03, , , 0.75, 0.7962467612740232, -0.04624676127402316
687, GJ03-381756, J. American Ceramic Soc., 2015, v. 098  p. 0748, , , , , , , , 0.91, , 
688, GJ03-381757, J. American Ceramic Soc., 2015, v. 098  p. 0748, , , , , , , , 0.93, , 
689, GJ03-381758, J. American Ceramic Soc., 2015, v. 098  p. 0748, , , , , , , , 0.96, , 
690, GJ38-381759, J. American Ceramic Soc., 2015, v. 098  p. 0748, , , , , , , , 0.99, , 
691, GJ38-381760, J. American Ceramic Soc., 2015, v. 098  p. 0748, , , , , , , , 1.05, , 
692, GP20-384142, European Patent    Schott Corp. (US), 2017, A3202724, 4.19, 4.51, , , 4.21, 3.91, , 0.76, , 
693, GP20-385148, US Patent    Schott Corp. (US), 2017, A9834469, 4.17, 4.49, , , 4.19, 3.9, , 0.76, , 
694, GP20-387280, US Patent    Schott Corp. (US), 2017, A0217828, 4.19, 4.51, , , 4.21, 3.91, , 0.76, , 
695, GP02-388314, US Patent    Corning Inc. (US), 2018, A0022640, 49.78, 21.66, 2.29, 0.05, 13.7, , , 0.638, , 
696, GP02-388315, US Patent    Corning Inc. (US), 2018, A0022640, 45.15, 20.89, 0.2, 2.78, 12.31, 0.46, , 0.737, , 
697, GJ03-392943, J. American Ceramic Soc., 2017, v. 100  p. 4347, 72.61, , 4.12, 9.55, 13.72, , , 0.7, , 
698, GJ02-392946, J. American Ceramic Soc., 2017, v. 100  p. 4347, 84.62, , , , 10.15, , , 0.68, , 
699, GJ02-392947, J. American Ceramic Soc., 2017, v. 100  p. 4347, 79.58, , , , 15.2, , , 0.6, , 
700, GJ02-392948, J. American Ceramic Soc., 2017, v. 100  p. 4347, 74.54, , , , 20.24, , , 0.6, , 
701, GP02-395509, Japanese Patent    AGC (J), 2017, AW090645, 30.17, , , , 3.5, 1.1, , 0.62, , 
702, GP02-395510, Japanese Patent    AGC (J), 2017, AW090645, 39.8, , , , 4.0, 1.2, , 0.66, , 
703, GP02-395517, Japanese Patent    AGC (J), 2017, AW090645, 27.7, , , , 3.1, 0.9, , 0.63, , 
704, GP02-395518, Japanese Patent    AGC (J), 2017, AW090645, 28.95, , , , 3.24, 1.01, , 0.62, , 
705, GP02-395519, Japanese Patent    AGC (J), 2017, AW090645, 28.0, 3.1, , , 3.1, 1.0, , 0.71, , 
706, GP02-395520, Japanese Patent    AGC (J), 2017, AW090645, 27.51, , , , 3.12, 0.98, , 0.62, , 
707, GP02-395521, Japanese Patent    AGC (J), 2017, AW090645, 30.2, , , , 3.2, 1.0, , 0.62, , 
708, GP03-395852, Japanese Patent    AGC (J), 2018, A104285, 66.27, 16.54, 9.15, , 8.04, , , 0.84, 0.8582958063116801, -0.01829580631168015
709, GP02-395853, Japanese Patent    AGC (J), 2018, A104285, 56.75, 14.16, , , 12.05, , , 0.75, , 
710, GP06-395854, Japanese Patent    AGC (J), 2018, A104285, 42.4, 43.16, 5.69, , 8.75, , , 0.87, 0.803406671107697, 0.06659332889230296
711, GP06-395855, Japanese Patent    AGC (J), 2018, A104285, 44.41, 45.21, 5.96, , , , , 1.03, , 
712, GP06-395856, Japanese Patent    AGC (J), 2018, A104285, 54.94, 31.07, , , 9.44, , , 0.84, , 
713, GP02-395857, Japanese Patent    AGC (J), 2018, A104285, 51.2, 26.96, , , 9.11, , , 0.78, , 
714, GP02-395859, Japanese Patent    AGC (J), 2018, A104285, 57.98, 20.35, 4.02, 5.6, , , , 0.93, , 
715, GP02-395860, Japanese Patent    AGC (J), 2018, A104285, 57.42, 25.19, 3.98, , , , , 0.93, , 
716, GJ03-397207, J. American Ceramic Soc., 2018, v. 101  p. 2266, 69.14, 1.73, 5.46, 9.49, 12.59, 1.59, , 0.75, 0.7384397937974951, 0.011560206202504864
717, GJ02-397633, J. American Ceramic Soc., 2019, v. 102  p. 4520, 42.3, 35.89, , , 21.81, , , 0.56, 0.833262586490233, -0.27326258649023294
718, GJ02-397691, J. American Ceramic Soc., 2019, v. 102  p. 6552, 74.0, 1.0, 0.5, 11.0, 13.0, 0.5, , 1.92, 0.7594431766129642, 1.1605568233870356
719, GJ03-400765, J. Asian Ceramic Soc., 2016, v. 004  p. 0371, 70.68, 1.1, 4.0, 9.81, 13.81, 0.5, , 1.12, 0.7573359942469422, 0.3626640057530579
720, GJ03-400890, Int. J. Applied Glass Science, 2020, v. 011  p. 0195, 73.0, 1.0, 4.0, 8.0, 14.0, , , 0.5, 0.7775093751736376, -0.2775093751736376
721, GJ02-401554, J. Non-Crystalline Solids, 2020, a. 119946, 79.5, , , , 20.5, , , 0.7, 0.9589476900437135, -0.25894769004371354
722, GJ03-401556, J. Non-Crystalline Solids, 2020, a. 119946, 72.61, , 4.12, 9.55, 13.72, , , 0.73, 0.7492207030605199, -0.019220703060519928
