Search Condition
State,Glass
Composition
,Component Unit,mass%
,Numerical
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,Total of Main Components >=,90,%
Commercial Glass,null
Glass System,Alkali Silicate
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
Numerical
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, K2O, SO3, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
103, GJ02-185129, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 80.33, , , , , , , 0.91, , 
104, GJ02-185130, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 88.94, , , , , , , 0.88, , 
105, GJ02-185131, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 76.71, 3.34, 1.98, 2.75, 15.22, , , 0.92, 0.8930279895442015, 0.026972010455798556
106, GJ02-185132, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 79.89, , , 4.66, 15.45, , , 0.9, 0.8856592662187056, 0.014340733781294412
107, GJ02-185133, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 68.16, 1.54, , , 7.5, 22.8, , 0.7, 1.057737531760314, -0.357737531760314
108, GJ02-185134, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 71.18, 3.1, , 4.26, , 21.46, , 0.9, 0.9949605228652403, -0.09496052286524026
109, GJ02-185135, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 75.2, 1.58, , , 5.75, 17.47, , 0.71, 1.0537209411592265, -0.3437209411592266
110, GJ02-185136, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 74.41, , , , 25.59, , , 0.86, 0.93724836846355, -0.07724836846354999
111, GJ02-185137, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 80.28, , , 9.37, 10.35, , , 0.92, 0.811566646645311, 0.10843335335468907
112, GJ02-185138, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 74.78, , , 4.65, 20.57, , , 0.83, 0.8640355212279828, -0.03403552122798281
113, GJ02-185139, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 69.95, 9.76, , 4.47, 15.82, , , 0.94, 0.8552874970295286, 0.08471250297047139
114, GJ02-185140, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 72.97, 3.17, , 4.37, 4.82, 14.67, , 0.88, 0.9574894701756138, -0.0774894701756138
115, GJ02-185141, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 58.61, 20.2, , 5.13, 16.06, , , 0.94, 0.8058994317613812, 0.1341005682386187
116, GJ02-185142, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 76.82, 3.34, , 4.6, 15.24, , , 0.93, , 
117, GJ02-185143, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 74.84, 3.26, , 4.48, 9.9, 7.52, , 0.89, 0.9180769316910689, -0.02807693169106884
118, GJ02-185144, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 75.15, , , 9.35, 15.5, , , 0.88, , 
119, GJ06-185145, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 47.91, 31.04, , 4.88, 16.17, , , 0.89, 0.7742428433121028, 0.11575715668789721
120, GJ02-185146, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 75.51, , , 14.1, 10.39, , , 0.88, 0.7151546082315675, 0.1648453917684325
121, GJ02-185147, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 70.02, , , 9.34, 20.64, , , 0.8, 0.7683094706930701, 0.03169052930692995
122, GJ02-185150, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 72.44, 1.71, 3.37, 8.45, 12.45, 1.58, , 0.76, 0.7827242634359646, -0.022724263435964565
123, GJ02-185152, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, *, *, , , *, *, , 0.64, , 
124, GP02-189075, Japanese Patent, 1999, A314938, 65.63, 1.11, 0.1, , , 5.26, , 2.1, , 
125, GP02-189076, Japanese Patent, 1999, A314938, 67.37, 1.52, 0.1, , , 3.55, , 3.0, , 
126, GP02-190519, European Patent    AGC (J), 1999, A0953549, 72.8, 1.89, 3.73, 8.12, 13.14, 0.32, , 0.75, , 
127, GP03-190520, European Patent    AGC (J), 1999, A0953549, 57.74, 6.92, 1.98, 5.02, 4.3, 5.99, , 0.64, , 
128, GP03-190521, European Patent    AGC (J), 1999, A0953549, 65.13, 3.99, 4.42, 7.03, 1.94, 14.02, , 0.68, , 
129, GI02-190602R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 39.8, 16.79, 17.7, , 10.32, 15.39, , 0.72, 0.7885240300509359, -0.06852403005093588
130, GI06-190605R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 38.79, 24.07, 14.22, , 9.82, 13.1, , 0.77, 0.798853229914481, -0.028853229914481027
131, GI06-190606R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 34.76, 22.37, , 20.48, 9.23, 13.16, , 0.6, 0.5434347893990101, 0.056565210600989846
132, GI06-190608R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 33.72, 21.31, , 11.67, 13.08, 19.56, , 0.63, 0.8232077759991852, -0.19320777599918515
133, GI03-190609R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 28.07, 18.06, , , 10.94, 15.64, , 0.62, , 
134, GI03-190611R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 48.18, 16.25, 11.53, , 9.64, 14.4, , 0.76, 0.8574906211393218, -0.09749062113932183
135, GI06-190612R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 45.83, 22.75, 8.08, , 9.28, 14.06, , 0.79, 0.8736603944788275, -0.08366039447882745
136, GI06-190613R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 43.32, 21.62, , 12.05, 8.96, 13.48, , 0.7, 0.8054594874859765, -0.10545948748597656
137, GI03-190614R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 36.15, 18.58, , , 7.64, 11.2, , 0.65, , 
138, GI02-190617R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 54.92, 15.26, 5.57, , 9.6, 14.65, , 0.94, 0.9256147497582419, 0.014385250241758074
139, GI02-190618R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 53.35, 14.9, , 8.31, 9.0, 13.92, , 0.76, 0.8972530992288705, -0.13725309922887052
140, GI02-190619R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 47.14, 13.32, , , 8.1, 12.16, , 0.7, , 
141, GI02-190620R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 52.03, 14.68, , , 8.95, 13.1, , 0.84, , 
142, GI02-190621R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 52.49, 21.05, 2.77, , 9.58, 14.11, , 1.1, 0.9352936119430948, 0.1647063880569053
143, GI02-190622R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 52.18, 21.73, , 3.89, 8.81, 13.39, , 0.85, 0.8854138903780218, -0.035413890378021784
144, GI02-190623R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 48.93, 20.55, , , 8.19, 12.39, , 0.83, , 
145, GI06-190627R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 63.12, 16.75, , 4.67, 10.35, , , 1.06, , 
146, GI06-190631R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 60.74, 15.28, , , 9.79, , , 1.08, , 
147, GI06-190635R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 68.07, 24.35, 2.56, , , , , 1.4, , 
148, GI02-190644R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 80.52, 5.48, , , , 3.34, , 1.11, , 
149, GI02-190648R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 58.38, 6.9, , 10.14, 14.42, 7.26, , 0.73, , 
150, GI03-190713R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 44.73, , , 24.49, 23.75, , , 0.56, , 
151, GI03-190714R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 44.17, , , 21.76, 23.65, , , 0.55, , 
152, GI03-190716R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 51.68, , , 20.92, 20.38, , , 0.62, , 
153, GI06-190746R, NGF's Additional New Data (J), 2000, v. 002  p. 0007, 63.54, 16.72, 3.56, , , , , 1.06, , 
