,SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
197,59.4,18.7,2.9,1.0,12.0,5.0,0.0,73.0
198,59.7,19.5,2.9,1.0,14.8,1.1,0.0,72.0
199,62.0,19.0,2.0,0.0,15.5,0.0,0.0,70.0
200,60.0,21.0,2.0,0.0,16.5,0.0,0.0,70.0
201,61.0,19.0,1.5,0.0,13.5,2.0,0.0,70.0
202,59.4,21.6,2.0,0.0,16.6,0.0,0.0,70.0
203,61.78,20.65,5.02,0.0,12.55,0.0,0.0,75.0
204,59.68,18.98,5.0,0.0,14.43,0.0,0.0,78.0
205,60.37,19.19,5.02,0.0,14.08,0.0,0.0,76.0
206,58.5,19.5,3.0,1.0,15.0,2.0,0.0,72.0
207,62.0,18.0,3.0,0.5,15.0,1.0,0.0,71.0
208,61.5,18.0,3.0,0.5,14.5,2.0,0.0,71.0
209,59.0,21.0,4.0,0.0,14.5,0.0,0.0,73.0
210,60.0,20.0,3.0,0.0,16.5,0.0,0.0,71.0
211,61.0,19.0,1.5,0.0,14.0,1.5,0.0,70.0
212,60.1,21.0,2.0,0.0,16.4,0.0,0.0,70.0
213,61.75,19.74,1.48,0.03,12.83,0.0,0.0,69.069
214,60.5,20.84,1.46,0.03,12.73,0.01,0.0,71.4357
215,58.76,22.19,1.45,0.04,12.69,0.01,0.0,72.2775
216,62.17,19.18,5.05,0.0,13.6,0.0,0.0,73.0
217,59.47,18.92,4.36,0.0,15.34,0.0,0.0,76.0
218,58.42,18.44,3.13,0.0,15.77,0.0,0.0,69.6
219,62.22,18.92,2.36,0.04,13.49,0.01,0.0,70.725
220,60.34,19.67,1.74,0.04,12.28,1.37,0.0,70.0557
221,61.53,19.75,1.44,0.04,13.13,0.01,0.0,69.0
222,62.04,19.06,1.45,0.05,13.22,0.06,0.0,69.4002
223,61.82,19.38,1.46,0.03,12.76,0.01,0.0,69.0759
224,58.45,18.45,3.13,0.0,15.78,0.0,0.06,69.6
225,65.34,16.83,3.47,0.0,13.51,0.0,0.0,77.349
226,65.66,16.87,3.49,0.0,13.58,0.0,0.0,78.453
227,64.74,16.69,3.43,0.0,13.43,0.0,0.0,82.593
228,64.11,16.72,3.46,0.0,13.44,0.0,0.0,81.696
229,61.89,20.85,1.71,0.03,11.56,0.14,0.0,69.1449
230,63.07,17.57,3.79,0.0,12.62,2.95,0.0,71.0
231,59.94,18.12,5.02,0.0,14.98,1.4,0.0,75.0
232,59.24,17.47,5.36,0.0,15.91,1.48,0.0,78.0
233,60.99,16.87,5.27,0.0,15.63,0.89,0.0,73.0
234,60.82,16.82,5.25,0.0,15.57,1.19,0.0,74.0
235,61.9,19.7,1.5,0.0,13.2,0.0,0.0,69.0
236,62.29,19.0,1.52,0.49,12.3,0.0,0.0,69.0
237,62.78,19.0,1.52,0.0,12.3,0.0,0.0,68.0
238,61.57,18.0,3.0,0.08,14.5,2.0,0.0,70.0
239,59.24,21.44,5.71,0.0,13.61,0.0,0.0,76.4
240,58.8,19.0,4.38,0.0,16.36,1.46,0.0,73.0
241,60.26,19.66,1.42,0.4,12.25,1.38,0.0,70.3248
242,61.36,18.88,1.77,0.05,12.59,1.22,0.0,71.1735
243,61.39,19.68,1.37,0.03,13.36,0.01,0.0,69.3312
244,61.65,19.66,1.46,0.03,13.0,0.01,0.0,69.138
245,61.4,19.66,1.43,0.03,12.87,0.01,0.0,69.0621
246,59.65,23.16,1.21,0.0,13.89,0.0,0.0,70.9
247,58.46,21.03,4.93,0.07,15.16,0.0,0.0,74.44
248,62.05,20.2,1.69,0.03,12.03,0.14,0.0,68.6205
249,61.85,20.52,1.76,0.03,11.89,0.14,0.0,68.7861
250,59.63,21.46,1.82,0.0,12.49,0.85,0.0,68.0
251,59.0,23.6,1.6,0.0,15.3,0.0,0.0,70.0
252,61.48,18.0,3.0,0.0,14.5,2.0,0.0,71.0
253,62.0,18.0,3.0,0.0,15.0,1.0,0.0,71.0
254,60.0,19.0,4.0,0.0,15.5,0.0,0.0,71.0
255,61.8,16.8,5.3,0.0,15.2,0.9,0.0,72.0
256,59.1,23.6,1.6,0.0,15.3,0.0,0.0,71.0
257,64.02,17.31,1.87,0.0,12.44,4.36,0.0,73.6
258,69.81,15.79,0.0,0.0,14.4,0.0,0.0,70.9
259,67.47,12.72,0.0,0.0,15.46,0.0,0.0,71.57
260,69.33,13.79,0.0,0.0,8.38,6.36,0.0,73.0
261,69.3,13.8,0.0,0.0,8.4,6.4,0.0,73.0
262,71.3,11.94,0.0,0.0,11.91,0.0,0.0,73.1
263,70.65,11.49,3.89,0.0,13.97,0.0,0.0,70.8
264,72.06,8.38,5.3,0.0,14.26,0.0,0.0,70.6
265,72.58,8.44,6.67,0.0,12.31,0.0,0.0,72.9
266,70.16,11.42,3.55,0.0,13.88,0.0,0.0,73.0
267,70.16,11.42,3.55,0.0,13.88,0.0,0.0,72.3
268,71.11,10.05,6.62,0.0,12.22,0.0,0.0,73.1
269,70.64,11.65,6.58,0.0,11.13,0.0,0.0,72.8
270,70.39,11.61,5.9,0.0,12.1,0.0,0.0,72.3
271,69.6,8.86,5.19,0.08,15.88,0.0,0.0,72.6
272,69.29,12.33,4.88,0.0,13.5,0.0,0.0,70.0
273,67.79,12.41,6.22,0.0,13.58,0.0,0.0,73.0
274,69.89,11.53,4.56,0.0,14.02,0.0,0.0,69.7
275,70.19,13.05,3.87,0.0,12.89,0.0,0.0,70.0
276,69.82,11.73,5.29,0.0,13.16,0.0,0.0,73.0
277,70.92,9.82,5.2,0.0,14.06,0.0,0.0,73.0
278,70.49,11.53,4.56,0.0,13.42,0.0,0.0,69.9
279,68.89,13.21,3.93,0.0,13.97,0.0,0.0,72.0
280,71.95,11.34,3.83,0.0,12.88,0.0,0.0,72.0
281,70.46,11.41,5.16,0.0,12.97,0.0,0.0,73.0
282,69.68,12.31,4.54,0.0,13.47,0.0,0.0,70.0
283,70.53,13.01,3.21,0.0,13.25,0.0,0.0,71.0
284,70.3,11.24,4.9,0.0,13.56,0.0,0.0,70.0
285,70.24,11.25,5.23,0.0,13.28,0.0,0.0,70.0
286,71.73,10.0,5.6,0.0,12.67,0.0,0.0,70.0
287,71.14,10.32,5.59,0.0,12.95,0.0,0.0,70.0
288,71.29,10.48,5.59,0.0,12.64,0.0,0.0,71.0
289,69.7,13.37,2.95,0.0,13.98,0.0,0.0,71.0
290,70.65,11.49,3.89,0.0,13.97,0.0,0.0,71.0
291,71.11,10.05,6.62,0.0,12.22,0.0,0.0,73.0
292,70.64,11.65,6.58,0.0,11.13,0.0,0.0,73.0
293,70.06,9.91,5.88,0.0,10.54,3.05,0.0,72.0
294,67.99,14.9,2.37,0.0,14.74,0.0,0.0,70.242
295,66.94,15.61,1.9,0.0,14.84,0.0,0.0,69.9246
296,68.48,15.74,0.0,0.0,15.31,0.0,0.0,70.1247
297,71.37,11.46,3.24,0.0,13.93,0.0,0.0,71.0
298,68.01,13.59,1.77,0.44,14.19,1.62,0.0,73.0
299,73.76,9.25,0.0,0.0,8.49,6.45,0.0,71.0
300,70.88,9.98,5.19,0.0,13.95,0.0,0.0,71.2
301,71.14,10.32,5.59,0.0,12.95,0.0,0.0,70.2
302,68.0,10.0,8.0,0.0,14.0,0.0,0.0,72.0
303,67.68,11.11,6.06,0.0,13.13,2.02,0.0,71.0
304,67.37,16.01,0.0,0.0,12.98,0.0,0.0,69.6
305,69.76,10.92,1.59,0.0,9.76,4.0,0.0,72.5
306,68.67,11.02,1.33,0.0,10.88,4.14,0.0,72.4
307,66.69,11.81,1.52,0.0,12.33,3.69,0.0,72.6
308,68.76,10.99,1.92,0.44,15.23,1.94,0.0,70.3
309,70.36,9.82,3.24,0.0,12.65,2.73,0.0,72.2
310,70.05,12.88,1.91,0.0,14.68,0.0,0.0,69.7659
311,72.19,11.31,1.28,0.0,14.74,0.0,0.0,69.828
312,71.61,0.0,3.81,10.13,14.04,0.0,0.0,64.0
313,71.65,1.68,1.68,9.5,13.66,1.58,0.0,66.85
314,67.8,5.0,1.5,11.5,13.0,1.0,0.0,70.56
315,67.8,5.0,3.5,9.0,11.5,3.0,0.0,70.56
316,72.49,0.0,3.9,8.4,13.8,0.42,0.0,72.5
317,72.7,1.0,3.9,8.4,13.0,0.6,0.0,73.0
318,72.0,2.0,3.0,9.0,14.0,0.0,0.0,70.56
319,72.0,1.04,3.96,9.98,13.02,0.0,0.0,72.41
320,72.57,0.0,0.0,9.44,14.01,2.49,0.0,72.73
321,72.97,0.1,3.89,8.93,13.7,0.03,0.25,72.5
322,74.95,0.6,0.0,10.78,9.78,3.89,0.0,70.56
323,72.5,1.5,3.0,10.0,13.0,0.0,0.0,66.93
324,74.89,0.45,0.28,9.35,14.87,0.0,0.0,68.95
325,74.53,0.38,0.3,10.37,14.21,0.0,0.0,71.06
326,74.85,0.0,0.31,11.67,13.01,0.0,0.0,67.76
327,71.44,0.6,4.03,9.6,13.98,0.03,0.3,73.0
328,73.33,2.52,0.0,11.1,12.27,0.78,0.0,75.0
329,70.5,0.89,5.05,8.91,13.66,0.0,0.0,66.0
330,68.42,5.02,0.0,13.58,9.8,0.0,0.0,77.8
331,71.66,0.6,4.12,9.65,13.67,0.3,0.0,70.0
332,67.78,2.12,0.1,8.59,16.16,5.15,0.0,68.0
333,71.34,0.71,1.02,9.18,11.48,5.1,0.0,73.6
334,73.11,1.89,3.74,8.41,12.85,0.0,0.0,72.0
335,73.09,1.72,4.09,8.53,12.57,0.0,0.0,74.2
336,71.79,0.07,1.03,9.24,11.55,5.14,0.0,73.6
337,73.32,0.52,4.18,8.69,13.29,0.0,0.0,73.0
338,70.72,0.11,3.71,8.53,13.45,0.07,0.0,77.3
339,71.07,0.89,4.15,8.42,13.27,0.23,0.0,74.3
340,69.5,1.91,3.11,8.44,14.4,0.07,0.0,75.47
341,68.23,2.87,1.64,9.21,15.0,0.92,0.0,75.1
342,68.26,2.87,1.65,9.21,14.79,0.92,0.0,75.37
343,68.34,2.87,1.65,9.24,14.51,0.92,0.0,75.86
344,67.9,2.85,1.64,9.16,14.7,0.92,0.0,75.3
345,69.04,2.4,1.7,9.12,13.41,0.75,0.0,78.2
346,72.29,0.6,4.02,9.64,13.45,0.0,0.0,73.0
347,71.2,1.65,0.07,11.83,14.74,0.01,0.0,73.1
348,72.63,0.0,4.06,9.76,13.55,0.0,0.0,72.0
349,72.13,0.69,4.03,9.7,13.45,0.0,0.0,72.0
350,71.2,1.65,0.07,11.83,14.74,0.01,0.0,70.5
351,73.91,1.69,0.07,9.52,11.89,2.92,0.0,67.5
352,71.95,1.65,0.08,10.49,9.89,5.94,0.0,68.0
353,70.71,0.11,3.71,8.53,13.45,0.07,0.0,77.3
354,73.18,0.52,4.18,8.86,13.26,0.0,0.0,73.0
355,67.35,0.0,6.95,9.67,16.03,0.0,0.0,76.0
356,72.26,0.52,4.04,9.71,13.47,0.0,0.0,72.0
357,71.71,0.69,4.18,8.85,14.41,0.16,0.0,74.0
358,74.23,2.06,0.0,9.28,14.43,0.0,0.0,76.0
359,73.41,1.45,0.08,10.3,14.74,0.01,0.0,72.1
360,72.07,1.8,3.89,8.59,13.08,0.5,0.0,74.2
361,73.19,1.01,3.52,8.47,13.1,0.6,0.0,73.3
362,70.25,1.2,2.0,11.28,11.08,0.8,0.0,73.2
363,74.0,1.0,0.5,11.0,13.0,0.5,0.0,72.0
364,74.26,2.51,0.0,9.56,13.59,0.0,0.0,71.9
365,73.64,2.57,0.67,9.18,13.86,0.0,0.0,72.5
366,72.85,2.51,1.26,9.58,13.69,0.0,0.0,72.5
367,72.31,2.58,2.0,9.72,13.31,0.0,0.0,73.3
368,70.93,2.59,2.57,9.73,13.9,0.0,0.2,73.6
369,70.14,2.58,3.26,9.62,14.29,0.0,0.0,74.0
370,69.67,2.64,3.93,9.74,13.91,0.0,0.0,74.0
371,69.03,2.5,4.6,9.84,13.91,0.0,0.0,75.6
372,73.14,2.61,1.93,8.69,13.51,0.0,0.0,72.7
