SiO2,MgO,Na2O,Al2O3,CaO,Density
53.55, , 4.3, , 42.15,2816.0
55.31, , 41.09, , 3.6,2568.0
54.53, , 37.39, , 8.08,2587.0
53.91, , 30.34, , 15.75,2630.0
53.36, , 20.18, , 26.45,2705.0
52.03, , 4.18, , 43.79,2838.0
51.86, , 4.88, , 43.25,2832.0
53.04, , 27.45, , 19.51,2664.0
52.93, , 38.96, , 8.11,2601.0
51.43, , 19.9, , 28.66,2730.0
51.96, , 30.84, , 17.2,2665.0
50.57, , 9.68, , 39.74,2807.0
50.56, , 10.04, , 39.39,2802.0
51.02, , 22.53, , 26.45,2712.0
50.52, , 17.17, , 32.31,2761.0
50.19, , 13.95, , 35.85,2777.0
49.85, , 9.35, , 40.8,2821.0
50.1, , 16.56, , 33.33,2764.0
51.07, , 35.33, , 13.59,2648.0
50.38, , 23.01, , 26.61,2719.0
65.03, , 16.01, , 18.96,2595.0
64.93, , 21.08, , 13.99,2573.0
64.18, , 10.06, , 25.76,2649.0
65.32, , 32.09, , 2.59,2509.0
65.05, , 31.69, , 3.26,2517.0
64.62, , 26.43, , 8.94,2546.0
63.68, , 13.56, , 22.75,2638.0
62.16, , 7.83, , 30.01,2691.0
60.97, , 4.85, , 34.18,2719.0
61.06, , 9.25, , 29.68,2694.0
61.46, , 27.77, , 10.77,2575.0
60.09, , 9.93, , 29.98,2702.0
59.16, , 7.06, , 33.77,2729.0
59.47, , 16.11, , 24.41,2672.0
59.52, , 19.22, , 21.25,2657.0
57.9, , 4.74, , 37.35,2761.0
59.6, , 33.23, , 7.17,2562.0
57.78, , 9.48, , 32.73,2733.0
58.62, , 25.35, , 16.03,2618.0
57.92, , 16.42, , 25.66,2692.0
57.13, , 27.56, , 15.31,2626.0
56.32, , 15.09, , 28.59,2712.0
57.27, , 33.0, , 9.72,2588.0
55.86, , 13.16, , 30.98,2735.0
56.37, , 22.19, , 21.43,2665.0
51.04, , 36.41, , 12.55,2641.0
50.01, , 16.69, , 33.29,2761.0
49.5, , 9.07, , 41.42,2820.0
50.03, , 20.47, , 29.5,2741.0
50.49, , 32.41, , 17.1,2670.0
49.78, , 28.71, , 21.51,2696.0
50.01, , 33.35, , 16.64,2663.0
49.19, , 25.77, , 25.03,2710.0
47.78, , 4.98, , 47.23,2867.0
48.76, , 27.35, , 23.88,2717.0
48.71, , 28.92, , 22.37,2697.0
46.92, , 6.96, , 46.11,2859.0
46.54, , 16.13, , 37.33,2794.0
47.09, , 39.66, , 13.24,2654.0
45.5, , 7.51, , 46.99,2863.0
46.18, , 35.34, , 18.48,2681.0
46.52, , 43.72, , 9.76,2630.0
45.66, , 43.48, , 10.86,2640.0
44.05, , 8.72, , 47.23,2874.0
44.21, , 13.69, , 42.09,2837.0
43.65, , 4.48, , 51.86,2902.0
44.91, , 33.72, , 21.37,2703.0
44.18, , 21.56, , 34.26,2784.0
40.3, , 25.66, , 34.04,2800.0
37.48, , 37.54, , 24.98,2742.0
75.22, , 24.77, , ,2434.0
90.14, , 3.77, , 6.09,2310.0
89.91, , 5.81, , 4.28,2311.0
86.2, , 10.57, , 3.22,2345.0
85.85, , 7.74, , 6.41,2355.0
83.0, , 8.9, , 8.1,2389.0
81.29, , 6.31, , 12.4,2421.0
78.14, , 16.49, , 5.37,2432.0
77.73, , 11.59, , 10.68,2455.0
76.97, , 14.45, , 8.57,2456.0
75.51, , 8.55, , 15.93,2497.0
75.82, , 12.41, , 11.77,2485.0
76.27, , 18.35, , 5.38,2455.0
75.04, , 5.93, , 19.03,2505.0
75.72, , 18.1, , 6.18,2468.0
74.32, , 4.28, , 21.4,2535.0
75.2, , 16.72, , 8.07,2475.0
75.0, , 16.96, , 8.03,2477.0
74.79, , 14.54, , 10.66,2489.0
74.65, , 12.93, , 12.42,2495.0
