SiO2,MgO,Na2O,Al2O3,CaO,Density
67.78,18.5,0.0,13.72,0.0,2497.0
69.62,18.31,0.0,12.06,0.0,2481.0
69.4,16.23,0.0,14.37,0.0,2487.0
68.69,15.75,0.0,15.56,0.0,2500.0
69.39,15.0,0.0,15.6,0.0,2487.0
71.27,14.84,0.0,13.89,0.0,2469.0
71.57,13.43,0.0,14.99,0.0,2465.0
73.04,12.62,0.0,14.34,0.0,2452.0
69.15,11.45,0.0,19.4,0.0,2498.0
72.99,11.2,0.0,15.81,0.0,2456.0
76.67,10.96,0.0,12.38,0.0,2410.0
18.92,0.0,0.0,40.64,40.44,2847.0
24.5,0.0,0.0,36.1,39.4,2827.0
35.0,0.0,0.0,27.5,37.5,2805.0
46.5,0.0,0.0,16.3,37.2,2800.0
44.5,0.0,0.0,19.7,35.8,2760.0
53.25,0.0,0.0,12.51,34.23,2763.0
47.6,0.0,0.0,19.1,33.3,2772.0
61.2,0.0,0.0,6.0,32.8,2728.0
65.0,0.0,0.0,2.9,32.1,2661.0
41.2,0.0,0.0,29.4,29.4,2754.0
48.8,0.0,0.0,21.9,29.3,2735.0
44.4,0.0,0.0,27.8,27.8,2735.0
49.4,0.0,0.0,23.4,27.2,2720.0
42.1,0.0,0.0,31.6,26.3,2748.0
47.4,0.0,0.0,26.3,26.3,2722.0
46.2,0.0,0.0,28.2,25.6,2731.0
48.1,0.0,0.0,26.6,25.3,2714.0
50.0,0.0,0.0,25.0,25.0,2704.0
53.6,0.0,0.0,22.0,24.4,2686.0
57.1,0.0,0.0,19.1,23.8,2661.0
60.5,0.0,0.0,16.3,23.2,2641.0
50.6,0.0,0.0,26.6,22.8,2700.0
54.6,0.0,0.0,22.7,22.7,2671.0
63.7,0.0,0.0,13.6,22.7,2623.0
66.7,0.0,0.0,11.1,22.2,2593.0
58.4,0.0,0.0,20.8,20.8,2640.0
51.3,0.0,0.0,28.2,20.5,2688.0
60.0,0.0,0.0,20.0,20.0,2624.0
61.6,0.0,0.0,19.2,19.2,2605.0
65.0,0.0,35.0,0.0,0.0,2419.0
70.0,0.0,30.0,0.0,0.0,2459.0
75.0,0.0,25.0,0.0,0.0,2419.0
50.0,0.0,37.0,13.0,0.0,2510.0
55.0,0.0,30.0,15.0,0.0,2470.0
80.0,0.0,20.0,0.0,0.0,2410.0
60.0,0.0,30.0,10.0,0.0,2501.0
82.0,0.0,10.0,0.0,8.0,2405.0
78.5,0.0,13.5,0.0,8.0,2421.0
76.0,0.0,16.0,0.0,8.0,2455.0
73.0,0.0,19.0,0.0,8.0,2449.0
70.5,0.0,21.5,0.0,8.0,2502.0
70.5,0.0,18.5,0.0,11.0,2548.0
80.0,0.0,10.0,0.0,10.0,2423.0
70.5,0.0,4.5,0.0,25.0,2563.0
76.5,0.0,10.0,0.0,13.5,2470.0
65.0,0.0,10.0,0.0,25.0,2622.0
72.5,0.0,10.0,0.0,17.5,2526.0
70.5,0.0,12.0,0.0,17.5,2528.0
70.5,0.0,10.0,0.0,19.5,2548.0
70.5,0.0,7.5,0.0,22.0,2567.0
78.5,0.0,10.0,0.0,11.5,2444.0
75.0,0.0,10.0,0.0,15.0,2490.0
62.5,0.0,10.0,0.0,27.5,2667.0
74.7,0.0,15.8,0.0,9.5,2497.0
70.2,0.0,11.2,0.0,18.6,2548.0
73.83,0.0,15.47,0.0,10.69,2496.0
73.83,0.0,15.47,0.0,10.69,2494.0
75.0,0.0,25.0,0.0,0.0,2430.0
60.0,0.0,0.0,10.0,30.0,2690.0
60.0,30.0,0.0,10.0,0.0,2610.0
40.0,0.0,0.0,10.0,50.0,2950.0
40.0,50.0,0.0,10.0,0.0,2840.0
40.0,0.0,0.0,15.0,45.0,2870.0
45.0,0.0,0.0,10.0,45.0,2880.0
45.0,45.0,0.0,10.0,0.0,2780.0
45.0,0.0,0.0,15.0,40.0,2830.0
45.0,40.0,0.0,15.0,0.0,2770.0
45.0,0.0,0.0,20.0,35.0,2780.0
50.0,0.0,0.0,10.0,40.0,2810.0
50.0,40.0,0.0,10.0,0.0,2720.0
50.0,0.0,0.0,15.0,35.0,2770.0
55.0,0.0,0.0,5.0,40.0,2810.0
55.0,40.0,0.0,5.0,0.0,2670.0
55.0,0.0,0.0,10.0,35.0,2750.0
55.0,35.0,0.0,10.0,0.0,2660.0
55.0,0.0,0.0,15.0,30.0,2720.0
65.0,0.0,0.0,10.0,25.0,2630.0
65.0,25.0,0.0,10.0,0.0,2550.0
50.0,0.0,50.0,0.0,0.0,2579.0
55.0,0.0,45.0,0.0,0.0,2551.0
60.0,0.0,40.0,0.0,0.0,2526.0
65.0,0.0,35.0,0.0,0.0,2499.0
70.0,0.0,30.0,0.0,0.0,2469.0
75.0,0.0,25.0,0.0,0.0,2437.0
82.7,0.0,17.3,0.0,0.0,2360.0
80.49,0.0,19.5,0.0,0.0,2390.0
85.0,0.0,15.0,0.0,0.0,2338.0
84.0,0.0,16.0,0.0,0.0,2348.0
83.0,0.0,17.0,0.0,0.0,2358.0
82.0,0.0,18.0,0.0,0.0,2364.0
81.0,0.0,19.0,0.0,0.0,2373.0
80.0,0.0,20.0,0.0,0.0,2389.0
79.0,0.0,21.0,0.0,0.0,2397.0
78.0,0.0,22.0,0.0,0.0,2406.0
77.0,0.0,23.0,0.0,0.0,2414.0
76.0,0.0,24.0,0.0,0.0,2423.0
75.0,0.0,25.0,0.0,0.0,2438.0
85.0,0.0,15.0,0.0,0.0,2330.0
80.79,0.0,19.21,0.0,0.0,2382.0
75.0,0.0,25.0,0.0,0.0,2434.0
83.73,0.0,16.27,0.0,0.0,2370.0
80.0,0.0,20.0,0.0,0.0,2219.0
65.0,0.0,35.0,0.0,0.0,2491.0
65.4,0.0,34.6,0.0,0.0,2496.0
70.0,0.0,20.5,9.5,0.0,2445.0
80.0,0.0,20.0,0.0,0.0,2388.0
60.0,0.0,20.0,20.0,0.0,2463.0
82.45,0.0,17.55,0.0,0.0,2375.0
79.9,0.0,17.96,2.13,0.0,2396.0
77.91,0.0,18.17,3.92,0.0,2406.0
75.23,0.0,18.93,5.84,0.0,2418.0
75.08,0.0,17.09,7.83,0.0,2428.0
73.4,0.0,17.14,9.46,0.0,2442.0
70.84,0.0,17.94,11.22,0.0,2411.0
68.76,0.0,19.58,11.66,0.0,2432.0
86.62,0.0,6.7,6.68,0.0,2296.0
83.3,0.0,8.37,8.33,0.0,2319.0
79.96,0.0,10.04,10.0,0.0,2338.0
77.77,0.0,11.13,11.1,0.0,2356.0
75.0,0.0,12.5,12.5,0.0,2376.0
68.74,0.0,11.82,19.44,0.0,2384.0
72.63,5.54,13.87,1.35,6.6,2468.0
72.53,5.39,13.93,1.39,6.76,2466.0
72.62,5.33,13.88,1.35,6.82,2466.0
72.51,5.49,13.94,1.33,6.72,2462.0
71.51,6.18,14.17,1.16,6.98,2484.0
85.0,0.0,0.0,15.0,0.0,2359.0
93.35,0.0,2.9,0.0,3.74,2260.0
73.46,0.0,14.18,1.01,11.35,2460.0
83.04,0.0,16.96,0.0,0.0,2150.0
70.65,0.0,29.35,0.0,0.0,2410.0
60.74,0.0,39.26,0.0,0.0,2350.0
54.58,0.0,37.07,0.0,8.35,2280.0
73.34,0.0,15.96,0.0,10.69,2280.0
69.93,0.0,19.37,0.0,10.7,2200.0
68.07,0.0,21.22,0.0,10.71,2260.0
72.51,0.0,14.58,0.0,12.91,2230.0
64.61,0.0,18.61,0.0,16.78,2430.0
67.01,0.0,14.91,0.0,18.08,2450.0
60.03,0.0,19.23,0.0,20.73,2410.0
69.22,0.0,9.58,0.0,21.19,2230.0
62.22,0.0,13.02,0.0,24.76,2590.0
50.33,0.0,36.75,0.0,12.92,2641.0
50.72,0.0,42.08,0.0,7.19,2608.0
54.42,0.0,31.88,0.0,13.7,2624.0
56.39,0.0,33.07,0.0,10.53,2598.0
60.14,0.0,33.64,0.0,6.21,2572.0
58.98,0.0,37.73,0.0,3.29,2547.0
60.12,0.0,23.67,0.0,16.21,2607.0
63.26,0.0,23.62,0.0,13.12,2576.0
63.89,0.0,20.49,0.0,15.62,2585.0
64.84,0.0,26.08,0.0,9.08,2546.0
66.03,0.0,28.05,0.0,5.92,2523.0
66.35,0.0,21.04,0.0,12.61,2556.0
67.75,0.0,28.72,0.0,3.53,2500.0
67.99,0.0,21.81,0.0,10.2,2533.0
70.67,0.0,22.35,0.0,6.98,2498.0
71.69,0.0,13.7,0.0,14.61,2528.0
72.99,0.0,23.62,0.0,3.39,2464.0
73.87,0.0,14.72,0.0,11.41,2494.0
74.28,0.0,11.84,0.0,13.88,2496.0
75.33,0.0,14.76,0.0,9.9,2473.0
78.89,0.0,15.85,0.0,5.25,2419.0
80.81,0.0,15.71,0.0,3.48,2389.0
75.22,0.0,24.77,0.0,0.0,2434.0
85.85,0.0,7.74,0.0,6.41,2355.0
71.33,5.8,22.87,0.0,0.0,2460.0
66.97,11.31,21.71,0.0,0.0,2481.0
71.33,0.0,22.72,0.0,5.95,2497.0
66.73,0.0,21.35,0.0,11.92,2556.0
74.82,0.0,14.26,0.0,10.92,2482.0
71.43,0.0,25.08,0.0,3.49,2484.0
74.06,0.0,22.68,0.0,3.26,2472.0
71.91,0.0,22.61,0.0,5.48,2499.0
70.96,0.0,10.68,0.0,18.35,2561.0
70.75,0.0,7.26,0.0,21.99,2575.0
73.56,0.0,18.9,0.0,7.54,2482.0
74.02,0.0,12.6,0.0,13.37,2516.0
76.57,0.0,12.65,0.0,10.78,2482.0
75.9,0.0,6.53,0.0,17.57,2510.0
77.62,0.0,12.01,0.0,10.37,2467.0
79.6,0.0,13.27,0.0,7.13,2434.0
79.13,0.0,6.85,0.0,14.02,2461.0
71.71,0.0,19.05,0.0,9.23,2502.0
71.29,0.0,15.67,0.0,13.03,2516.0
70.0,20.0,10.0,0.0,0.0,2385.0
57.7,26.3,16.0,0.0,0.0,2469.0
70.0,10.0,20.0,0.0,0.0,2468.0
70.0,0.0,20.0,0.0,10.0,2521.0
72.22,9.72,18.06,0.0,0.0,2265.0
72.22,0.0,18.06,0.0,9.72,2303.0
51.66,0.0,46.61,1.73,0.0,2561.0
52.77,0.0,42.93,4.3,0.0,2550.0
53.01,0.0,42.87,4.12,0.0,2548.0
53.64,0.0,40.41,5.94,0.0,2541.0
52.72,0.0,44.31,2.97,0.0,2553.0
58.22,0.0,35.68,6.1,0.0,2518.0
57.87,0.0,37.87,4.26,0.0,2526.0
58.61,0.0,35.38,6.0,0.0,2516.0
57.2,0.0,41.06,1.74,0.0,2536.0
57.78,0.0,39.28,2.93,0.0,2530.0
63.6,0.0,30.3,6.1,0.0,2490.0
62.59,0.0,34.46,2.95,0.0,2503.0
62.17,0.0,36.13,1.7,0.0,2511.0
61.78,0.0,37.57,0.65,0.0,2517.0
63.98,0.0,30.08,5.94,0.0,2489.0
63.3,0.0,32.68,4.02,0.0,2498.0
65.74,0.0,33.65,0.61,0.0,2492.0
68.42,0.0,25.41,6.16,0.0,2462.0
67.63,0.0,29.49,2.88,0.0,2475.0
69.08,0.0,25.1,5.82,0.0,2458.0
67.28,0.0,31.0,1.72,0.0,2483.0
67.24,0.0,31.31,1.45,0.0,2481.0
67.57,0.0,31.21,1.22,0.0,2481.0
69.07,0.0,28.24,2.69,0.0,2465.0
69.21,0.0,29.02,1.77,0.0,2468.0
70.6,0.0,25.27,4.12,0.0,2454.0
71.02,0.0,25.48,3.5,0.0,2453.0
70.9,0.0,28.52,0.58,0.0,2461.0
71.31,0.0,27.47,1.22,0.0,2457.0
72.3,0.0,24.76,2.94,0.0,2445.0
72.64,0.0,24.37,2.98,0.0,2443.0
72.27,0.0,26.02,1.71,0.0,2451.0
73.34,0.0,22.7,3.95,0.0,2434.0
74.37,0.0,19.88,5.75,0.0,2421.0
74.04,0.0,25.38,0.58,0.0,2440.0
75.77,0.0,21.39,2.83,0.0,2418.0
75.62,0.0,23.8,0.58,0.0,2428.0
76.34,0.0,21.86,1.8,0.0,2416.0
75.84,0.0,23.52,0.63,0.0,2423.0
76.14,0.0,22.66,1.2,0.0,2419.0
77.3,0.0,19.6,3.1,0.0,2403.0
77.48,0.0,19.6,2.91,0.0,2402.0
77.02,0.0,21.27,1.71,0.0,2415.0
