SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
4.8,44.7,4.8,40.89,0.0,0.0,0.0,113.2
5.0,47.01,5.0,42.99,0.0,0.0,0.0,110.2
10.0,44.5,5.0,40.5,0.0,0.0,0.0,109.2
72.97,0.1,3.89,8.93,13.7,0.03,0.25,72.5
8.48,43.18,0.0,39.58,8.75,0.0,0.0,80.04
8.88,45.23,0.0,41.46,0.0,0.0,0.0,97.98
8.75,44.54,5.87,40.83,0.0,0.0,0.0,103.5
3.39,46.0,0.0,50.61,0.0,0.0,0.0,100.1
8.55,43.54,0.0,47.9,0.0,0.0,0.0,101.4
6.0,43.62,0.0,50.38,0.0,0.0,0.0,100.7
3.43,43.69,0.0,52.87,0.0,0.0,0.0,100.1
8.85,45.06,8.91,37.18,0.0,0.0,0.0,105.6
8.65,44.04,2.9,44.41,0.0,0.0,0.0,100.1
3.53,44.91,7.1,44.46,0.0,0.0,0.0,103.2
3.5,44.6,5.29,46.61,0.0,0.0,0.0,115.9
3.48,44.29,3.5,48.72,0.0,0.0,0.0,110.4
3.46,43.99,1.74,50.81,0.0,0.0,0.0,102.8
3.42,43.47,0.0,47.82,5.28,0.0,0.0,107.0
3.4,43.26,0.0,42.82,10.52,0.0,0.0,104.9
3.39,43.11,0.0,39.52,13.98,0.0,0.0,96.6
3.38,43.0,0.0,37.06,16.56,0.0,0.0,89.7
8.72,44.37,0.0,44.74,0.0,0.0,0.0,97.29
19.99,49.99,0.0,30.01,0.0,0.0,0.0,108.6
30.0,40.0,0.0,30.0,0.0,0.0,0.0,103.5
39.97,30.02,0.0,30.01,0.0,0.0,0.0,98.8
50.04,19.94,0.0,30.02,0.0,0.0,0.0,93.3
60.0,9.98,0.0,30.01,0.0,0.0,0.0,90.1
65.08,4.93,0.0,29.99,0.0,0.0,0.0,87.2
74.95,0.6,0.0,10.78,9.78,3.89,0.0,70.56
75.0,2.0,0.0,2.0,13.0,4.0,0.0,72.52
58.54,6.84,0.95,3.5,22.58,4.9,0.0,79.77
63.5,15.5,4.0,13.0,2.0,0.0,0.0,73.5
96.65,0.4,0.0,0.0,0.02,0.02,0.0,94.08
64.36,24.82,10.31,0.0,0.0,0.0,0.0,85.75
60.0,24.9,0.0,0.0,15.1,0.0,0.0,63.48
72.5,1.5,3.0,10.0,13.0,0.0,0.0,66.93
41.0,39.5,0.0,18.5,0.0,0.0,0.0,102.1
40.8,39.7,0.0,19.0,0.0,0.0,0.0,122.1
42.76,36.26,0.0,19.98,0.0,0.0,0.0,103.5
44.58,36.12,2.79,16.02,0.0,0.0,0.0,141.5
46.97,35.62,6.87,10.05,0.0,0.0,0.0,142.8
48.61,35.19,9.64,6.06,0.0,0.0,0.0,146.3
60.0,25.0,10.0,5.0,0.0,0.0,0.0,119.0
60.0,25.0,10.0,5.0,0.0,0.0,0.0,120.0
55.0,25.0,15.0,5.0,0.0,0.0,0.0,131.0
55.0,25.0,15.0,5.0,0.0,0.0,0.0,128.0
55.0,20.0,20.0,5.0,0.0,0.0,0.0,150.0
55.0,20.0,20.0,5.0,0.0,0.0,0.0,131.0
50.0,30.0,15.0,5.0,0.0,0.0,0.0,133.0
50.0,30.0,15.0,5.0,0.0,0.0,0.0,122.0
55.0,30.0,10.0,5.0,0.0,0.0,0.0,113.0
55.0,30.0,10.0,5.0,0.0,0.0,0.0,90.0
55.0,30.0,10.0,5.0,0.0,0.0,0.0,129.0
55.0,30.0,10.0,5.0,0.0,0.0,0.0,127.0
50.0,34.0,11.0,5.0,0.0,0.0,0.0,101.0
50.0,34.0,11.0,5.0,0.0,0.0,0.0,63.5
54.55,13.64,18.18,13.64,0.0,0.0,0.0,150.0
54.55,13.64,18.18,13.64,0.0,0.0,0.0,133.0
64.27,31.16,0.0,0.0,0.0,0.0,0.0,88.9
58.45,0.0,0.0,0.0,0.0,41.55,0.0,41.85
63.42,0.0,0.0,0.0,0.0,36.58,0.0,44.59
70.09,0.0,0.0,0.0,0.0,29.91,0.0,48.02
76.09,0.0,0.0,0.0,0.0,23.91,0.0,50.86
85.16,0.0,0.0,0.0,0.0,14.83,0.0,57.0
82.39,0.0,0.0,0.0,0.0,17.61,0.0,54.0
55.0,21.23,20.0,0.0,0.0,0.0,0.0,137.0
74.06,0.24,0.0,0.21,25.35,0.0,0.0,56.69
74.24,0.21,0.0,1.51,23.9,0.0,0.0,58.12
73.99,0.28,0.0,2.61,22.97,0.0,0.0,60.53
74.14,0.38,0.0,3.81,21.52,0.0,0.0,62.07
73.79,0.58,0.15,4.5,20.78,0.0,0.0,62.99
73.22,0.3,0.21,6.26,19.39,0.0,0.0,65.67
74.4,0.31,0.24,7.45,17.2,0.0,0.0,66.69
75.05,0.42,0.26,8.17,16.01,0.0,0.0,68.28
74.89,0.45,0.28,9.35,14.87,0.0,0.0,68.95
74.53,0.38,0.3,10.37,14.21,0.0,0.0,71.06
74.85,0.0,0.31,11.67,13.01,0.0,0.0,67.76
66.6,1.41,0.85,18.14,12.7,0.0,0.0,81.79
57.16,16.16,0.0,26.67,0.0,0.0,0.0,86.2
65.4,1.15,0.0,30.57,0.0,0.0,0.0,93.5
6.23,42.26,4.18,47.33,0.0,0.0,0.0,104.4
0.0,100.0,0.0,0.0,0.0,0.0,0.0,122.0
