SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
 55.0, 10.0, 35.0, , , , , 115.0
 7.85, 87.06, 5.0, , , , , 120.0
 54.29, 9.87, 34.55, , , , , 125.0
 53.76, 9.78, 34.21, , , , , 133.0
 53.14, 9.66, 33.82, , , , , 144.0
 53.04, 9.64, 33.75, , , , , 150.0
 52.88, 9.62, 33.65, , , , , 150.0
 72.0, 2.0, 2.0, 8.0, 15.0, 1.0, , 76.6
 80.0, 2.0, , 1.0, 4.0, , , 63.7
 69.0, 5.0, , 7.0, 8.0, 4.0, , 70.7
 58.14, 14.25, 0.37, 0.19, 14.48, 10.81, , 70.7
 , 8.68, , , , 24.07, , 55.0
 , 8.25, , , , 22.86, , 42.0
 , 9.17, , , , 25.41, , 60.0
 , 12.58, , , , 34.87, , 37.0
 , 13.35, , , , 37.0, , 43.0
 , 13.92, , , , 38.56, , 44.0
 , 10.19, , , , 18.84, , 45.0
 , 10.45, , , , 19.32, , 50.0
 , 10.73, , , , 19.82, , 59.0
 , 15.8, , , , 29.2, , 42.0
 , 16.68, , , , 30.83, , 50.0
 , 17.15, , , , 31.7, , 53.0
 , 17.67, , , , 32.65, , 60.0
 , 19.33, , , , 35.72, , 35.0
 , 20.16, , , , 37.26, , 40.0
 , 21.06, , , , 38.93, , 43.0
 96.0, 1.0, , , , , , 65.9
 57.0, 20.0, 12.0, 6.0, 1.0, , , 89.1
 80.0, 2.0, , , 4.0, , , 63.7
 72.0, 2.0, 4.0, 7.0, 14.0, 1.0, , 73.4
 60.0, 4.0, , , 10.0, 2.0, , 65.3
 , , , , , 5.45, , 53.72
 , , , , , 8.19, , 56.17
 , , , , , 10.04, , 58.69
 , , , , , 11.83, , 57.8
 , , , , , 13.68, , 57.89
 , , , , , 18.37, , 45.19
 55.28, 12.39, 1.82, 2.53, , , , 83.0
 55.56, 12.45, 1.83, 2.54, , , , 83.0
 56.48, 14.54, 1.81, 2.52, , , , 84.0
 55.17, 12.36, , 5.04, , , , 82.0
 2.5, 3.0, , , , , , 20.58
 2.5, 3.0, 0.5, 0.5, , , , 24.5
 3.0, 4.0, , , , , , 12.74
 35.47, 16.45, 2.78, 11.97, 1.6, 2.14, , 68.6
 67.8, 5.0, 1.5, 11.5, 13.0, 1.0, , 70.56
 67.8, 5.0, 3.5, 9.0, 11.5, 3.0, , 70.56
 68.07, 2.01, 4.02, 8.03, 12.55, 1.0, , 72.52
 52.91, , , 3.14, 6.89, 5.71, , 75.8
 56.29, 12.74, , , 30.97, , , 68.0
 53.62, 24.26, , , 22.12, , , 73.0
 52.37, 29.62, , , 18.01, , , 74.0
 51.62, 32.85, , , 15.53, , , 77.0
 72.04, 8.15, , , 19.81, , , 65.0
 65.06, 15.77, , , 19.17, , , 70.0
 47.72, 34.7, , , 17.58, , , 78.0
 58.0, 13.12, , 28.87, , , , 92.5
 55.81, 21.04, , 23.15, , , , 91.25
 53.28, 30.14, , 16.58, , , , 91.25
 54.2, 26.82, , 18.97, , , , 98.0
 55.22, 15.1, , 22.39, , , , 70.0
 72.3, 1.2, , 13.9, 12.6, , , 55.0
 15.35, , , , , 3.64, , 54.72
 14.81, , , , , 7.03, , 60.04
 13.84, , , , , 13.15, , 62.62
 13.4, , , , , 15.91, , 62.39
 12.99, , , , , 18.5, , 57.75
 12.23, , , , , 23.24, , 50.39
 34.51, , , , , 5.41, , 60.57
 32.74, , , , , 10.26, , 65.36
 31.14, , , , , 14.64, , 65.21
 29.69, , , , , 18.62, , 60.52
 28.37, , , , , 22.24, , 54.15
 26.05, , , , , 28.59, , 46.71
 74.4, , , , , 25.6, , 49.03
 71.84, , , , , 28.16, , 47.67
 68.72, , , , , 31.28, , 46.04
 65.68, , , , , 34.32, , 43.92
 80.6, , 0.08, 0.16, 3.6, 0.76, , 62.9
 67.6, , , , 0.5, 8.4, , 62.1
 72.49, , 3.9, 8.4, 13.8, 0.42, , 72.5
 *, , , , *, *, , 58.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 56.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 55.0
 *, , , , *, *, , 52.0
 *, , , , *, *, , 51.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 57.0
 *, , , , *, *, , 58.0
 *, , , , *, *, , 93.0
 *, *, , *, *, *, , 40.0
 *, *, , , *, , , 58.0
 *, *, , , *, , , 60.0
 *, *, , , *, , , 60.0
 *, *, , , *, , , 66.0
 *, *, , , *, , , 66.0
 *, *, , , *, , , 65.0
 *, , , , *, *, , 82.0
 *, *, , , , *, , 60.0
 *, *, , , , *, , 54.0
 *, *, , , , *, , 52.0
 , *, , , , , , 55.0
 , *, , , , , , 66.0
 , *, , , , , , 60.0
 , *, , , , , , 65.0
 , *, , , , , , 59.0
 , *, , , , , , 75.0
