Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,*,AND,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,96,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Poisson Ratio,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,10000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Poisson Ratio
1703, GP06-374440, US Patent    Corning Inc. (US), 2016, A9517967, 58.56, 4.91, 22.89, 1.0, 0.03, 12.4, 0.01, , , 0.22
1704, GP06-374441, US Patent    Corning Inc. (US), 2016, A9517967, 60.82, 4.88, 21.51, 0.98, 0.03, 11.57, 0.01, , , 0.21
1705, GP06-374442, US Patent    Corning Inc. (US), 2016, A9517967, 60.3, 4.76, 21.0, 1.21, 0.03, 12.47, 0.03, , , 0.21
1706, GP02-374443, US Patent    Corning Inc. (US), 2016, A9517967, 59.57, 5.11, 20.58, 1.49, 0.03, 13.03, 0.01, , , 0.22
1707, GP02-375056, US Patent    Corning Inc. (US), 2016, A0251255, 48.46, , 18.92, 0.01, 0.02, 17.41, 0.05, , , 0.221
1708, GP02-375057, US Patent    Corning Inc. (US), 2016, A0251255, 49.8, , 18.56, 0.01, 0.02, 17.4, 0.48, , , 0.216
1709, GP02-375058, US Patent    Corning Inc. (US), 2016, A0251255, 49.25, , 18.74, 0.01, 0.02, 17.15, 1.35, , , 0.218
1710, GP02-375059, US Patent    Corning Inc. (US), 2016, A0251255, 53.16, , 18.83, 0.47, 0.02, 17.1, 0.04, , , 0.21
1711, GP02-375060, US Patent    Corning Inc. (US), 2016, A0251255, 48.51, , 19.64, 0.01, 0.02, 16.67, 0.05, , , 0.22
1712, GP02-375061, US Patent    Corning Inc. (US), 2016, A0251255, 51.77, , 16.83, 0.01, 0.02, 17.7, 1.65, , , 0.222
1713, GP02-375062, US Patent    Corning Inc. (US), 2016, A0251255, 51.35, , 17.49, 0.01, 0.02, 17.6, 0.52, , , 0.218
1714, GP02-375063, US Patent    Corning Inc. (US), 2016, A0251255, 51.03, , 17.58, 0.01, 0.02, 17.61, 1.14, , , 0.221
1715, GP02-375064, US Patent    Corning Inc. (US), 2016, A0251255, 50.11, , 17.58, 0.01, 0.02, 17.43, 1.98, , , 0.224
1716, GP02-375065, US Patent    Corning Inc. (US), 2016, A0251255, 58.41, , 16.73, 0.01, 0.03, 17.93, 0.37, , , 0.223
1717, GP02-375066, US Patent    Corning Inc. (US), 2016, A0251255, 58.16, , 16.8, 0.005977, 0.02, 17.69, 0.92, , , 0.212
1718, GP02-375067, US Patent    Corning Inc. (US), 2016, A0251255, 58.56, , 16.84, 0.01, 0.03, 17.66, 0.73, , , 0.222
1719, GJ03-378561, J. Non-Crystalline Solids, 2018, v. 483  p. 0065, 71.29, , 13.16, 3.96, 8.31, 1.76, 0.83, 0.69, , 0.22
1720, GP06-379501, Japanese Patent    Corning Inc. (US), 2017, A081817, 57.44, 10.3, 18.94, , 0.02, 11.51, 1.41, , , 0.214
1721, GP06-379504, Japanese Patent    Corning Inc. (US), 2017, A081817, 59.33, 9.93, 18.08, , , 10.71, 1.84, , , 0.212
1722, GP06-379506, Japanese Patent    Corning Inc. (US), 2017, A081817, 59.19, 10.44, 18.04, 0.01, 0.03, 10.22, 1.96, , , 0.222
1723, GP06-379507, Japanese Patent    Corning Inc. (US), 2017, A081817, 59.55, 11.13, 16.45, 0.01, 0.04, 10.75, 1.96, , , 0.216
1724, GP06-379509, Japanese Patent    Corning Inc. (US), 2017, A081817, 57.46, 5.81, 20.09, 1.14, 0.04, 11.28, 3.98, , , 0.217
1725, GP06-379510, Japanese Patent    Corning Inc. (US), 2017, A081817, 56.32, 5.99, 20.58, 1.17, 0.04, 11.59, 4.09, , , 0.217
1726, GP06-379511, Japanese Patent    Corning Inc. (US), 2017, A081817, 57.47, 6.25, 19.8, 1.21, 0.04, 11.48, 3.52, , , 0.208
1727, GP02-380184, Japanese Patent    Corning Inc. (US), 2017, A506615, 60.5, 3.88, 20.84, 1.46, 0.03, 12.73, 0.01, , , 0.219
1728, GP02-380185, Japanese Patent    Corning Inc. (US), 2017, A506615, 58.76, 3.9, 22.19, 1.45, 0.04, 12.69, 0.01, , , 0.209
1729, GP02-380186, Japanese Patent    Corning Inc. (US), 2017, A506615, 56.98, 3.86, 23.59, 1.45, 0.03, 12.67, 0.03, , , 0.214
1730, GP02-380187, Japanese Patent    Corning Inc. (US), 2017, A506615, 57.9, 3.81, 23.11, 1.47, 0.03, 12.14, 0.03, , , 0.215
1731, GP02-380188, Japanese Patent    Corning Inc. (US), 2017, A506615, 60.08, 3.82, 21.72, 1.49, 0.03, 11.24, 0.03, , , 0.213
1732, GP02-380189, Japanese Patent    Corning Inc. (US), 2017, A506615, 62.05, 4.03, 20.35, 1.51, 0.03, 10.4, 0.03, , , 0.214
1733, GP02-381321, US Patent    Corning Inc. (US), 2017, A0174557, 49.89, , 19.47, , , 13.18, 2.47, , , 0.21
1734, GP02-381322, US Patent    Corning Inc. (US), 2017, A0174557, 49.76, , 19.47, , , 12.31, 3.68, , , 0.216
1735, GP02-381323, US Patent    Corning Inc. (US), 2017, A0174557, 49.6, , 19.45, , , 11.43, 4.88, , , 0.212
1736, GP02-381324, US Patent    Corning Inc. (US), 2017, A0174557, 46.52, , 23.27, , , 12.99, 2.44, , , 0.212
1737, GP02-381325, US Patent    Corning Inc. (US), 2017, A0174557, 46.43, , 23.15, , , 12.14, 3.64, , , 0.219
1738, GP02-381326, US Patent    Corning Inc. (US), 2017, A0174557, 46.05, , 23.05, , , 11.3, 4.84, , , 0.201
1739, GP02-381327, US Patent    Corning Inc. (US), 2017, A0174557, 51.98, , 16.88, 0.005534, , 11.59, 4.91, , , 0.211
1740, GP02-381328, US Patent    Corning Inc. (US), 2017, A0174557, 54.37, , 14.25, 0.005601, , 11.7, 4.95, , , 0.208
1741, GP02-381329, US Patent    Corning Inc. (US), 2017, A0174557, 54.52, , 15.81, 0.005628, , 11.75, 5.02, , , 0.21
1742, GP02-381330, US Patent    Corning Inc. (US), 2017, A0174557, 52.06, , 18.4, 0.01, , 11.66, 4.99, , , 0.208
1743, GP02-381331, US Patent    Corning Inc. (US), 2017, A0174557, 52.49, , 17.11, 0.01, , 12.56, 4.99, , , 0.211
1744, GP02-381332, US Patent    Corning Inc. (US), 2017, A0174557, 52.29, , 15.6, 0.005564, , 12.48, 4.9, , , 0.209
1745, GP02-381333, US Patent    Corning Inc. (US), 2017, A0174557, 53.17, , 18.31, 0.005606, , 11.8, 5.07, , , 0.21
1746, GP02-381334, US Patent    Corning Inc. (US), 2017, A0174557, 52.02, , 19.58, 0.005573, , 11.73, 5.07, , , 0.21
1747, GP02-381335, US Patent    Corning Inc. (US), 2017, A0174557, 52.4, , 18.38, 0.005607, , 12.63, 5.06, , , 0.21225
1748, GP02-381336, US Patent    Corning Inc. (US), 2017, A0174557, 52.44, , 18.38, 0.54, , 11.84, 5.11, , , 0.2093
1749, GP02-381337, US Patent    Corning Inc. (US), 2017, A0174557, 52.21, , 19.73, 0.005597, , 12.63, 3.82, , , 0.21
1750, GP02-381338, US Patent    Corning Inc. (US), 2017, A0174557, 52.67, , 19.88, 0.005638, , 12.7, 5.1, , , 0.214
1751, GP02-381414, US Patent    Schott AG (DE), 2017, A0183259, 64.0, 8.0, 7.0, , , 6.0, 6.0, , , 0.2
1752, GP02-381415, US Patent    Schott AG (DE), 2017, A0183259, 70.0, 0.1, 1.0, , 7.0, 8.0, 8.0, , , 0.2
1753, GP02-381416, US Patent    Schott AG (DE), 2017, A0183259, 61.0, 1.0, 18.0, , 1.0, 10.0, 1.0, , , 0.2
1754, GJ02-381635, Ceramics - Silikaty, 2013, v. 057  p. 0039, 72.35, , 1.9, 4.01, 6.71, 15.03, , , , 0.22
1755, GJ20-381784, J. American Ceramic Soc., 2015, v. 098  p. 1111, , , 10.93, , , , 13.11, , , 0.27
1756, GJ02-381785, J. American Ceramic Soc., 2015, v. 098  p. 1111, 69.13, 10.75, 0.36, , , 10.4, 6.29, , , 0.2
1757, GJ02-382931, J. Non-Crystalline Solids, 2018, v. 500  p. 0382, 72.0, , 0.6, 4.27, 8.73, 13.78, 0.4, 0.2, , 0.234
1758, GP08-383350, US Patent    Corning Inc. (US), 2017, A9701570, 60.96, , 18.36, , 3.22, 7.1, 6.17, , , 0.2
1759, XP06-383393, US Patent    Corning Inc. (US), 2017, A9701574, 64.9, 2.0, 20.07, 1.8, , 0.4, 0.07, , , 0.25
1760, GP06-383395, US Patent    Corning Inc. (US), 2017, A9701580, 54.87, , 24.83, 4.96, 0.08, 14.89, , , , 0.22
1761, GP06-383397, US Patent    Corning Inc. (US), 2017, A9701580, 53.75, , 24.41, 0.08, 6.77, 14.63, , , , 0.22
1762, GP06-383398, US Patent    Corning Inc. (US), 2017, A9701580, 53.97, , 24.44, 1.0, 5.49, 14.74, , , , 0.229
1763, GP06-383399, US Patent    Corning Inc. (US), 2017, A9701580, 54.16, , 24.61, 2.07, 4.14, 14.66, , , , 0.225
1764, GP06-383400, US Patent    Corning Inc. (US), 2017, A9701580, 54.32, , 24.69, 3.14, 2.74, 14.77, , , , 0.222
1765, GP06-383401, US Patent    Corning Inc. (US), 2017, A9701580, 54.54, , 24.7, 3.52, 2.04, 14.83, , , , 0.229
1766, GP06-383402, US Patent    Corning Inc. (US), 2017, A9701580, 54.81, , 24.69, 3.91, 1.34, 14.88, , , , 0.226
1767, GP06-383403, US Patent    Corning Inc. (US), 2017, A9701580, 54.77, , 24.78, 4.49, 0.67, 14.92, , , , 0.225
1768, GP06-383404, US Patent    Corning Inc. (US), 2017, A9701580, 54.41, , 24.57, 3.43, 2.01, 13.7, 1.52, , , 0.227
1769, GP06-383405, US Patent    Corning Inc. (US), 2017, A9701580, 54.13, , 24.48, 3.47, 2.01, 12.9, 2.65, , , 0.227
1770, GP06-383406, US Patent    Corning Inc. (US), 2017, A9701580, 56.62, , 23.56, 3.35, 1.95, 14.15, , , , 0.22
1771, GP06-383407, US Patent    Corning Inc. (US), 2017, A9701580, 58.76, , 22.43, 3.17, 1.83, 13.46, , , , 0.216
1772, GP06-383439, US Patent    Corning Inc. (US), 2017, A9708216, 47.14, , 28.97, , , 11.74, 2.55, , , 0.217
1773, GP06-383441, US Patent    Corning Inc. (US), 2017, A9708216, 50.51, 3.9, 22.85, , , 12.15, 2.64, , , 0.223
1774, GP06-383443, US Patent    Corning Inc. (US), 2017, A9708216, 50.68, 3.92, 22.97, , , 13.53, 0.66, , , 0.21
1775, GP06-383444, US Patent    Corning Inc. (US), 2017, A9708216, 50.95, 4.43, 22.34, , , 13.58, 0.67, , , 0.21
1776, GP02-383450, US Patent    Corning Inc. (US), 2017, A9708216, 50.92, 4.43, 22.18, , , 13.57, 0.67, , , 0.215
1777, GP20-384129, European Patent    Schott Corp. (US), 2017, A3202724, , , 5.9, , , 7.83, 3.57, , , 0.26
1778, GP20-384134, European Patent    Schott Corp. (US), 2017, A3202724, , , 7.94, , , 6.27, 3.86, , , 0.25
1779, GP20-384135, European Patent    Schott Corp. (US), 2017, A3202724, , , 11.28, , , 4.09, 3.8, , , 0.24
1780, GP20-384136, European Patent    Schott Corp. (US), 2017, A3202724, , , 4.53, 1.41, , 6.4, 3.94, , , 0.25
1781, GP20-384142, European Patent    Schott Corp. (US), 2017, A3202724, 4.19, , 4.51, , , 4.21, 3.91, , , 0.25
1782, GP20-384145, European Patent    Schott Corp. (US), 2017, A3202724, , , 4.44, , , 7.54, 3.86, , , 0.26
1783, GP20-384146, European Patent    Schott Corp. (US), 2017, A3202724, , , 4.22, , , 7.16, 3.67, , , 0.26
1784, GP02-384958, US Patent    Corning Inc. (US), 2017, A9815733, 50.34, 3.61, 24.09, 1.47, 0.03, 14.82, 0.04, , , 0.276
1785, GP06-384959, US Patent    Corning Inc. (US), 2017, A9815733, 53.69, 3.75, 22.29, 1.47, 0.03, 13.3, 0.04, , , 0.267
1786, GP06-384960, US Patent    Corning Inc. (US), 2017, A9815733, 55.52, 3.15, 21.76, 1.5, 0.04, 12.44, 0.04, , , 0.198
1787, GP06-384961, US Patent    Corning Inc. (US), 2017, A9815733, 54.55, 3.1, 21.71, 1.78, 0.04, 12.38, 0.04, , , 0.198
1788, GP02-384997, US Patent    Corning Inc. (US), 2017, A9822032, 62.22, 2.71, 18.92, 2.36, 0.04, 13.49, 0.01, , , 0.216
1789, GP02-384998, US Patent    Corning Inc. (US), 2017, A9822032, 62.07, 2.73, 18.85, 2.28, 0.03, 12.41, 1.38, , , 0.202
1790, GP02-384999, US Patent    Corning Inc. (US), 2017, A9822032, 61.97, 2.78, 18.76, 2.02, 0.42, 12.42, 1.38, , , 0.21
1791, GP02-385000, US Patent    Corning Inc. (US), 2017, A9822032, 61.97, 2.79, 18.82, 2.07, 0.05, 13.5, 0.04, , , 0.202
1792, GP02-385001, US Patent    Corning Inc. (US), 2017, A9822032, 61.66, 2.8, 18.73, 1.73, 0.41, 12.48, 1.38, , , 0.221
1793, GP02-385002, US Patent    Corning Inc. (US), 2017, A9822032, 61.52, 2.79, 18.68, 1.69, 0.04, 12.55, 1.38, , , 0.209
1794, GP02-385003, US Patent    Corning Inc. (US), 2017, A9822032, 60.49, 3.85, 19.75, 1.74, 0.41, 12.13, 1.36, , , 0.209
1795, GP02-385004, US Patent    Corning Inc. (US), 2017, A9822032, 60.34, 3.82, 19.67, 1.74, 0.04, 12.28, 1.37, , , 0.212
1796, GP02-385005, US Patent    Corning Inc. (US), 2017, A9822032, 61.97, 3.64, 18.81, 1.72, 0.42, 13.18, 0.01, , , 0.223
1797, GP02-385006, US Patent    Corning Inc. (US), 2017, A9822032, 61.69, 3.65, 18.71, 1.7, 0.42, 12.23, 1.35, , , 0.223
1798, GP02-385007, US Patent    Corning Inc. (US), 2017, A9822032, 60.46, 3.74, 19.72, 1.39, 0.04, 13.28, 0.01, , , 0.216
1799, GP02-385008, US Patent    Corning Inc. (US), 2017, A9822032, 60.35, 3.72, 19.66, 1.09, 0.03, 13.25, 0.01, , , 0.216
1800, GP02-385009, US Patent    Corning Inc. (US), 2017, A9822032, 61.53, 3.85, 19.75, 1.44, 0.04, 13.13, 0.01, , , 0.208
1801, GP02-385010, US Patent    Corning Inc. (US), 2017, A9822032, 62.04, 3.87, 19.06, 1.45, 0.05, 13.22, 0.06, , , 0.209
1802, GP02-385011, US Patent    Corning Inc. (US), 2017, A9822032, 60.95, 3.63, 19.27, 1.85, 0.1, 12.65, 0.95, , , 0.212
1803, GP02-385012, US Patent    Corning Inc. (US), 2017, A9822032, 61.25, 4.22, 19.69, 1.36, 0.03, 13.12, 0.01, , , 0.225
1804, GP02-385013, US Patent    Corning Inc. (US), 2017, A9822032, 61.21, 4.22, 19.46, 1.26, 0.03, 12.76, 0.01, , , 0.219
1805, GP02-385014, US Patent    Corning Inc. (US), 2017, A9822032, 61.41, 4.34, 19.63, 1.12, 0.05, 13.16, 0.04, , , 0.207
1806, GP02-385015, US Patent    Corning Inc. (US), 2017, A9822032, 61.59, 4.5, 19.48, 1.29, 0.03, 12.85, 0.01, , , 0.223
1807, GP02-385016, US Patent    Corning Inc. (US), 2017, A9822032, 61.33, 4.2, 19.62, 1.52, 0.03, 13.07, 0.01, , , 0.224
1808, GP02-385017, US Patent    Corning Inc. (US), 2017, A9822032, 61.78, 4.17, 19.53, 1.48, 0.03, 12.8, 0.01, , , 0.221
1809, GP02-385018, US Patent    Corning Inc. (US), 2017, A9822032, 61.82, 4.32, 19.38, 1.46, 0.03, 12.76, 0.01, , , 0.218
1810, GP20-385140, US Patent    Schott Corp. (US), 2017, A9834469, , , 5.87, , , 7.8, 3.56, , , 0.26
1811, GP20-385145, US Patent    Schott Corp. (US), 2017, A9834469, , , 7.91, , , 6.25, 3.84, , , 0.25
1812, GP20-385146, US Patent    Schott Corp. (US), 2017, A9834469, , , 11.24, , , 4.07, 3.79, , , 0.24
1813, GP20-385147, US Patent    Schott Corp. (US), 2017, A9834469, , , 4.52, 1.41, , 6.38, 3.93, , , 0.25
1814, GP20-385148, US Patent    Schott Corp. (US), 2017, A9834469, 4.17, , 4.49, , , 4.19, 3.9, , , 0.25
1815, GP20-385149, US Patent    Schott Corp. (US), 2017, A9834469, , , 4.43, , , 7.51, 3.85, , , 0.26
1816, GP20-385150, US Patent    Schott Corp. (US), 2017, A9834469, , , 4.2, , , 7.13, 3.65, , , 0.26
1817, GP02-385968, European Patent    Corning Inc. (US), 2016, AW138330, 48.46, , 18.92, 0.01, 0.02, 17.41, 0.05, , , 0.221
1818, GP02-385969, European Patent    Corning Inc. (US), 2016, AW138330, 49.8, , 18.56, 0.01, 0.02, 17.4, 0.48, , , 0.216
1819, GP02-385970, European Patent    Corning Inc. (US), 2016, AW138330, 49.25, , 18.74, 0.01, 0.02, 17.15, 1.35, , , 0.218
1820, GP02-385971, European Patent    Corning Inc. (US), 2016, AW138330, 53.16, , 18.83, 0.47, 0.02, 17.1, 0.04, , , 0.21
1821, GP02-385972, European Patent    Corning Inc. (US), 2016, AW138330, 48.51, , 19.64, 0.01, 0.02, 16.67, 0.05, , , 0.22
1822, GP02-385973, European Patent    Corning Inc. (US), 2016, AW138330, 51.77, , 16.83, 0.01, 0.02, 17.7, 1.65, , , 0.222
1823, GP02-385974, European Patent    Corning Inc. (US), 2016, AW138330, 51.35, , 17.49, 0.01, 0.02, 17.6, 0.52, , , 0.218
1824, GP02-385975, European Patent    Corning Inc. (US), 2016, AW138330, 51.03, , 17.58, 0.01, 0.02, 17.61, 1.14, , , 0.221
1825, GP02-385976, European Patent    Corning Inc. (US), 2016, AW138330, 50.11, , 17.58, 0.01, 0.02, 17.43, 1.98, , , 0.224
1826, GP02-385977, European Patent    Corning Inc. (US), 2016, AW138330, 58.41, , 16.73, 0.01, 0.03, 17.93, 0.37, , , 0.223
1827, GP02-385978, European Patent    Corning Inc. (US), 2016, AW138330, 58.16, , 16.8, 0.005977, 0.02, 17.69, 0.92, , , 0.212
1828, GP02-385979, European Patent    Corning Inc. (US), 2016, AW138330, 58.56, , 16.84, 0.01, 0.03, 17.66, 0.73, , , 0.222
1829, XP03-385980, European Patent    Others, 2016, AW134677, 45.96, 2.28, 16.26, 14.12, , 3.0, 9.25, , , 0.29
1830, XP03-385981, European Patent    Others, 2016, AW134677, 45.96, 2.28, 16.26, 12.12, , 7.0, 7.25, , , 0.29
1831, XP08-385982, European Patent    Others, 2016, AW134677, 43.08, 5.35, 19.25, 8.56, , 5.35, 9.62, , , 0.28
1832, XP08-385983, European Patent    Others, 2016, AW134677, 46.2, 5.55, 15.71, 8.31, , 8.31, 6.47, , , 0.28
1833, XP08-385984, European Patent    Others, 2016, AW134677, 48.28, 6.12, 13.97, 8.73, , 8.73, 5.24, , , 0.28
1834, XP08-385985, European Patent    Others, 2016, AW134677, 50.41, 6.7, 10.88, 10.05, , 9.21, 4.19, , , 0.27
1835, XP08-385986, European Patent    Others, 2016, AW134677, 58.71, 6.71, 8.39, 4.19, , 5.03, 8.39, , , 0.28
1836, XP08-385987, European Patent    Others, 2016, AW134677, 55.05, 8.8, 10.27, 5.14, , 5.87, 5.87, , , 0.28
1837, XP08-385988, European Patent    Others, 2016, AW134677, 51.5, 9.88, 11.29, 6.35, , 7.06, 4.23, , , 0.29
1838, XP08-385989, European Patent    Others, 2016, AW134677, 38.11, 12.19, 15.24, 9.9, , 9.14, 3.04, , , 0.27
1839, XP03-385990, European Patent    Others, 2016, AW134677, 33.48, 12.63, 18.95, 12.64, , 10.11, 1.9, , , 0.28
1840, XP03-385991, European Patent    Others, 2016, AW134677, 45.04, 1.0, 25.92, 12.01, , 5.01, 5.01, , , 0.27
1841, GP03-386053, European Patent    Pilkington (GB), 2016, AW151322, 64.2, , 0.11, 4.29, 12.06, 11.8, 0.01, 0.31, , 0.25
1842, GP03-386054, European Patent    Pilkington (GB), 2016, AW151322, 61.53, , 7.06, 4.15, 12.0, 11.7, 0.01, 0.34, , 0.23
1843, GP03-386055, European Patent    Pilkington (GB), 2016, AW151322, 66.6, , 5.03, 4.13, 9.2, 10.1, 0.01, 0.24, , 0.22
1844, GP03-386056, European Patent    Pilkington (GB), 2016, AW151322, 65.44, , 4.12, 4.22, 10.21, 10.11, 0.01, 0.28, , 0.21
1845, GP03-386057, European Patent    Pilkington (GB), 2016, AW151322, 62.08, , 0.08, 4.36, 12.11, 10.11, 0.01, 0.34, , 0.23
1846, GP03-386058, European Patent    Pilkington (GB), 2016, AW151324, 68.09, , 3.43, 4.44, 9.87, 11.72, 0.01, 0.22, , 0.22
1847, GP03-386059, European Patent    Pilkington (GB), 2016, AW151324, 68.72, , 1.88, 4.52, 8.52, 12.0, 0.01, 0.21, , 0.22
1848, GP03-386060, European Patent    Pilkington (GB), 2016, AW151324, 69.15, , 0.28, 4.62, 7.25, 12.31, 0.01, 0.19, , 0.21
1849, GP03-386061, European Patent    Pilkington (GB), 2016, AW151324, 66.35, , 0.08, 4.22, 6.24, 10.92, 0.02, 0.29, , 0.21
1850, GP03-386062, European Patent    Pilkington (GB), 2016, AW151324, 64.86, , 0.03, 4.24, 11.91, 11.81, 0.01, 0.31, , 0.23
1851, GP03-386063, European Patent    Pilkington (GB), 2016, AW151324, 67.85, , 0.08, 4.43, 6.53, 11.93, 0.02, 0.24, , 0.19
1852, GP02-386397, European Patent    Corning Inc. (US), 2016, AW210244, 56.22, , 18.53, 0.01, , 15.23, , 0.06, , 0.211
1853, GP02-386398, European Patent    Corning Inc. (US), 2016, AW210244, 58.45, , 18.45, 3.13, , 15.78, , 0.06, , 0.204
1854, GP02-386399, European Patent    Corning Inc. (US), 2016, AW210244, 55.81, , 17.34, 0.01, , 16.06, , 0.06, , 0.209
1855, GP02-386400, European Patent    Corning Inc. (US), 2016, AW210244, 55.8, , 17.51, 0.01, , 15.3, , 0.06, , 0.211
1856, GP02-386401, European Patent    Corning Inc. (US), 2016, AW210244, 55.98, , 18.88, 0.01, , 14.04, , 0.06, , 0.208
1857, GP02-386402, European Patent    Corning Inc. (US), 2016, AW210244, 56.03, , 19.2, 0.01, , 14.06, , 0.06, , 0.21
1858, GP02-386403, European Patent    Corning Inc. (US), 2016, AW210244, 57.51, , 19.73, 1.86, , 15.21, , 0.05, , 0.207
1859, GP02-386404, European Patent    Corning Inc. (US), 2016, AW210244, 56.99, , 20.41, 1.84, , 15.83, , 0.06, , 0.209
1860, GP02-386406, European Patent    Corning Inc. (US), 2016, AW210244, 56.93, , 22.47, 1.25, , 12.84, , 0.06, , 0.21
1861, GP02-386407, European Patent    Corning Inc. (US), 2016, AW210244, 56.49, , 24.95, 0.02, , 11.15, , 0.06, , 0.213
1862, GP02-386408, European Patent    Corning Inc. (US), 2016, AW210244, 56.6, , 22.98, 0.01, , 12.29, , 0.05, , 0.206
1863, GP02-386409, European Patent    Corning Inc. (US), 2016, AW210244, 56.47, , 23.0, 0.02, , 11.8, , 0.06, , 0.21
1864, GP02-386410, European Patent    Corning Inc. (US), 2016, AW210244, 56.61, , 22.96, 0.01, , 11.0, , 0.06, , 0.204
1865, GP02-386411, European Patent    Corning Inc. (US), 2016, AW210244, 56.05, , 22.78, 0.01, , 12.25, , 0.06, , 0.208
1866, GP02-386412, European Patent    Corning Inc. (US), 2016, AW210244, 56.32, , 22.91, 0.01, , 11.43, , 0.05, , 0.206
1867, GP02-386413, European Patent    Corning Inc. (US), 2016, AW210244, 56.6, , 23.01, 0.02, , 10.52, , 0.05, , 0.206
1868, GP02-386415, European Patent    Corning Inc. (US), 2016, AW210244, 56.84, , 23.76, 0.01, , 10.07, , 0.05, , 0.211
1869, GP02-386416, European Patent    Corning Inc. (US), 2016, AW210244, 56.73, , 23.71, 0.01, , 9.68, , 0.06, , 0.21
1870, GP02-386417, European Patent    Corning Inc. (US), 2016, AW210244, 57.2, , 24.44, 0.01, , 9.2, , 0.05, , 0.211
1871, GP02-386418, European Patent    Corning Inc. (US), 2016, AW210244, 57.38, , 25.12, 0.01, , 8.31, , 0.05, , 0.212
1872, GJ03-387021, J. Non-Crystalline Solids, 2019, v. 503  p. 0197, 73.18, , 0.7, 4.5, 8.91, 12.71, , , , 0.22
1873, CJ03-387023, J. Non-Crystalline Solids, 2019, v. 503  p. 0197, 73.18, , 0.7, 4.5, 8.91, 12.71, , , , 0.22
1874, GP20-387269, US Patent    Schott Corp. (US), 2017, A0217828, , , 5.89, , , 7.81, 3.56, , , 0.26
1875, GP20-387274, US Patent    Schott Corp. (US), 2017, A0217828, , , 7.93, , , 6.26, 3.85, , , 0.25
1876, GP20-387275, US Patent    Schott Corp. (US), 2017, A0217828, , , 11.26, , , 4.08, 3.8, , , 0.24
1877, GP20-387276, US Patent    Schott Corp. (US), 2017, A0217828, , , 4.53, 1.41, , 6.39, 3.93, , , 0.25
1878, GP20-387280, US Patent    Schott Corp. (US), 2017, A0217828, 4.19, , 4.51, , , 4.21, 3.91, , , 0.25
1879, GP20-387283, US Patent    Schott Corp. (US), 2017, A0217828, , , 4.44, , , 7.53, 3.85, , , 0.26
1880, GP20-387284, US Patent    Schott Corp. (US), 2017, A0217828, , , 4.21, , , 7.15, 3.66, , , 0.26
1881, GP06-387593, US Patent    Corning Inc. (US), 2017, A0297957, 54.87, , 24.83, 4.96, 0.08, 14.89, , , , 0.22
1882, GP06-387594, US Patent    Corning Inc. (US), 2017, A0297957, 51.13, , 28.54, 5.41, 0.08, 14.48, , , , 0.215
1883, GP06-387595, US Patent    Corning Inc. (US), 2017, A0297957, 48.38, , 32.04, 4.74, 0.07, 14.41, , , , 0.225
1884, GP06-387596, US Patent    Corning Inc. (US), 2017, A0297957, 45.31, , 35.43, 4.63, 0.07, 14.21, , , , 0.22
1885, GP06-387601, US Patent    Corning Inc. (US), 2017, A0297957, 53.75, , 24.41, 0.08, 6.77, 14.63, , , , 0.22
1886, GP06-387602, US Patent    Corning Inc. (US), 2017, A0297957, 50.53, , 28.05, 0.08, 6.72, 14.29, , , , 0.237
1887, GP06-387603, US Patent    Corning Inc. (US), 2017, A0297957, 47.18, , 31.49, 0.08, 6.82, 14.08, , , , 0.238
1888, GP06-387604, US Patent    Corning Inc. (US), 2017, A0297957, 44.35, , 34.81, 0.07, 6.48, 13.95, , , , 0.221
1889, GP06-387605, US Patent    Corning Inc. (US), 2017, A0297957, 53.97, , 24.44, 1.0, 5.49, 14.74, , , , 0.229
1890, GP06-387606, US Patent    Corning Inc. (US), 2017, A0297957, 54.16, , 24.61, 2.07, 4.14, 14.66, , , , 0.225
1891, GP06-387607, US Patent    Corning Inc. (US), 2017, A0297957, 54.32, , 24.69, 3.14, 2.74, 14.77, , , , 0.222
1892, GP06-387608, US Patent    Corning Inc. (US), 2017, A0297957, 54.54, , 24.7, 3.52, 2.04, 14.83, , , , 0.229
1893, GP06-387609, US Patent    Corning Inc. (US), 2017, A0297957, 54.81, , 24.69, 3.91, 1.34, 14.88, , , , 0.226
1894, GP06-387610, US Patent    Corning Inc. (US), 2017, A0297957, 54.77, , 24.78, 4.49, 0.67, 14.92, , , , 0.225
1895, XP06-387793, US Patent    Corning Inc. (US), 2017, A0341974, 64.9, 2.0, 20.07, 1.8, , 0.4, 0.07, , , 0.25
