Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,*,AND,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,96,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Poisson Ratio,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,10000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Poisson Ratio
159, GC04-044736, Schott AG (DE), 1981, LF5-581409, *, , , , , *, *, , , 0.226
160, GC04-044737, Schott AG (DE), 1981, LF6-567428, *, , , , , *, *, , , 0.217
161, GC04-044738, Schott AG (DE), 1981, LF7-575415, *, , , , , *, *, , , 0.217
162, GC04-044739, Schott AG (DE), 1981, LF8-564438, *, , , , , *, *, , , 0.218
163, GC04-044740, Schott AG (DE), 1981, F1-626357, *, , , , , *, *, , , 0.229
164, GC04-044741, Schott AG (DE), 1981, F2-620364, *, , , , , *, *, , , 0.225
165, GC04-044742, Schott AG (DE), 1981, F3-613370, *, , , , , *, *, , , 0.224
166, GC04-044743, Schott AG (DE), 1981, F4-617366, *, , , , , *, *, , , 0.225
167, GC04-044744, Schott AG (DE), 1981, F5-603380, *, , , , , *, *, , , 0.22
168, GC04-044745, Schott AG (DE), 1981, F6-636353, *, , , , , *, *, , , 0.231
169, GC04-044746, Schott AG (DE), 1981, F7-625356, *, , , , , *, *, , , 0.239
170, GC04-044747, Schott AG (DE), 1981, F8-596392, *, , , , , *, *, , , 0.222
171, GC04-044748, Schott AG (DE), 1981, F9-620381, *, , , , , *, *, , , 0.225
172, GC04-044749, Schott AG (DE), 1981, FN11-621362, *, , , , , *, *, , , 0.23
173, GC04-044750, Schott AG (DE), 1981, F13-622360, *, , , , , *, *, , , 0.226
174, GC04-044751, Schott AG (DE), 1981, F14-601382, *, , , , , *, *, , , 0.218
175, GC04-044752, Schott AG (DE), 1981, F15-606378, *, , , , , *, *, , , 0.219
