SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Poisson Ratio
 7.35, , , , , 3.84, , 0.208
 9.75, , , , , 3.82, , 0.25
 *, *, , , , *, , 0.245
 *, , , , *, *, , 0.208
 *, , , , *, *, , 0.214
 *, *, , , *, *, , 0.23
 *, *, , , *, *, , 0.242
 *, *, , , *, *, , 0.231
 *, *, , , *, *, , 0.293
 *, *, , , *, *, , 0.294
 *, , , , *, *, , 0.214
 *, , , , *, *, , 0.204
 *, , , , *, *, , 0.227
 *, , , , *, *, , 0.214
 *, , , , *, *, , 0.238
 *, , , , *, *, , 0.23
 *, *, , *, *, *, , 0.227
 *, *, , *, *, *, , 0.228
 *, *, , *, *, *, , 0.221
 *, *, , *, *, *, , 0.203
 *, *, , *, *, *, , 0.23
 *, , , , *, *, , 0.241
 *, *, , , *, *, , 0.259
 *, *, , , *, *, , 0.235
 *, *, , , *, *, , 0.253
 *, *, , , *, *, , 0.247
 *, *, , , , *, , 0.227
 *, *, , , , *, , 0.214
 *, *, , , , *, , 0.221
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.251
 *, , , , *, *, , 0.254
 *, , , , *, *, , 0.257
 *, , , , *, *, , 0.216
 *, , , , *, *, , 0.213
 *, , , , *, *, , 0.207
 *, , , , *, *, , 0.245
 *, , , , *, *, , 0.241
 *, , , , *, *, , 0.246
 *, , , , *, *, , 0.257
 *, , , , *, *, , 0.247
 *, , , , *, *, , 0.247
 *, , , , *, *, , 0.257
 *, , , , *, *, , 0.268
 *, , , , *, *, , 0.277
 *, , , , *, *, , 0.255
 *, , , , *, *, , 0.241
 *, , , , *, *, , 0.248
 *, , , , *, *, , 0.282
 *, , , , *, *, , 0.246
 *, , , , *, *, , 0.227
 *, , , , *, *, , 0.228
 *, , , , *, *, , 0.203
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.214
 *, , , , *, *, , 0.216
 *, , , , *, *, , 0.224
 *, , , , *, *, , 0.231
 *, , , , *, *, , 0.221
 *, , , , *, *, , 0.223
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.227
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.231
 *, , , , *, *, , 0.226
 *, , , , *, *, , 0.241
 *, , , , *, *, , 0.246
 *, , , , *, *, , 0.251
 *, , , , *, *, , 0.241
 *, , , , *, *, , 0.267
 *, , , , *, *, , 0.276
 *, , , , *, *, , 0.251
 *, , , , *, *, , 0.265
 *, , , , *, *, , 0.264
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.235
 *, , , , *, *, , 0.237
 *, , , , *, *, , 0.242
 *, , , , *, *, , 0.229
 *, , , , *, *, , 0.257
 *, , , , *, *, , 0.231
 *, , , , *, *, , 0.235
 *, , , , *, *, , 0.234
 *, , , , *, *, , 0.251
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.237
 *, , , , *, *, , 0.244
 *, , , , *, *, , 0.239
 *, , , , *, *, , 0.229
 *, , , , *, *, , 0.242
 *, , , , *, *, , 0.269
 *, , , , *, *, , 0.265
 *, , , , *, *, , 0.256
 *, , , , *, *, , 0.308
 *, , , , *, *, , 0.308
 *, , , , *, *, , 0.308
 *, , , , *, *, , 0.277
 *, , , , *, *, , 0.3
 *, , , , *, *, , 0.298
 *, , , , *, *, , 0.299
 *, , , , *, *, , 0.3
 *, , , , *, *, , 0.291
 *, , , , *, *, , 0.31
 *, , , , *, *, , 0.292
 *, , , , *, *, , 0.295
 *, , , , *, *, , 0.273
 *, , , , *, *, , 0.293
 *, , , , *, *, , 0.31
 *, , , , *, *, , 0.305
 *, , , , *, *, , 0.301
 *, , , , *, *, , 0.281
 *, , , , *, *, , 0.298
 *, , , , *, *, , 0.299
 *, , , , *, *, , 0.299
 *, , , , *, *, , 0.3
 *, , , , *, *, , 0.305
 60.3, , 13.5, , , 15.8, , 0.25
 , , , , , *, , 0.3922
 , , , , , *, , 0.438
 , , , , , *, , 0.4445
 , , , , , *, , 0.4116
 65.68, , , , , 34.32, , 0.168
 71.84, , , , , 28.16, , 0.25
 78.33, , , , , 21.67, , 0.225
 81.02, , , , , 18.98, , 0.23
 56.43, , , , , 43.57, , 0.17
 65.68, , , , , 34.32, , 0.168
 78.33, , , , , 21.67, , 0.617
 *, , , , *, *, , 0.248
 *, , , , *, *, , 0.213
 *, , , , *, *, , 0.225
 , , , , , 9.38, , 0.257
 , , , , , 10.29, , 0.257
 , , , , , 6.93, , 0.212
 4.7, , , , , 7.37, , 0.237
 , , , , , 7.25, , 0.247
 7.35, , , , , 3.84, , 0.208
 9.75, , , , , 3.82, , 0.25
 , , , , , 9.38, , 0.257
 , , , , , 10.29, , 0.257
 , , , , , 6.93, , 0.212
 4.7, , , , , 7.37, , 0.237
 , , , , , 7.25, , 0.247
 7.35, , , , , 3.84, , 0.208
 9.75, , , , , 3.82, , 0.25
 54.5, 19.0, , 2.0, 16.0, 2.0, , 0.25
 96.3, 0.4, , , 0.2, 0.2, , 0.18
 80.66, 2.2, , , 3.81, 0.4, , 0.2
 , , , , , 14.1, , 0.25
 , , , , 2.35, 10.71, , 0.27
 , , , , 4.75, 7.22, , 0.27
 , , , , 7.22, 3.66, , 0.27
 , , , , , 30.57, , 0.32
 , , , , 2.55, 27.11, , 0.29
 , , , , 5.16, 23.54, , 0.29
 , , , , 7.85, 19.89, , 0.28
 , , , , 10.61, 16.13, , 0.28
 , , , , 13.45, 12.27, , 0.28
 , , , , 16.37, 8.29, , 0.28
 , , , , 19.37, 4.21, , 0.28
 , , , , , 10.84, , 0.27
 , , , , , 7.41, , 0.26
 , , , , , 3.8, , 0.25
 , , , , , 27.47, , 0.29
 , , , , , 24.19, , 0.28
 , , , , , 20.73, , 0.27
 , , , , , 17.07, , 0.27
 , , , , , 13.18, , 0.26
 , , , , , 9.06, , 0.27
 , , , , , 4.67, , 0.26
 72.97, 0.1, 3.89, 8.93, 13.7, 0.03, 0.25, 0.215
 76.09, , , , , 23.91, , 0.236
 73.37, , , , , 26.63, , 0.244
 70.09, , , , , 29.91, , 0.254
 63.42, , , , , 36.58, , 0.275
 61.31, , , , , 38.69, , 0.281
 58.45, , , , , 41.55, , 0.29
 58.45, , , , , 41.55, , 0.29
 63.42, , , , , 36.58, , 0.275
 70.09, , , , , 29.91, , 0.254
 76.09, , , , , 23.91, , 0.236
 85.16, , , , , 14.83, , 0.188
 82.39, , , , , 17.61, , 0.201
 , 24.41, , 14.12, , 15.1, , 0.27
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.2
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, *, , , *, *, , 0.23
 *, *, , , *, *, , 0.25
 *, *, , , , *, , 0.19
 *, *, , , , *, , 0.22
 *, *, , , , *, , 0.2
 *, , , , *, *, , 0.27
 *, *, , , , *, , 0.21
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.25
 *, , , , *, *, , 0.26
 *, *, , *, *, *, , 0.18
 *, *, , *, *, *, , 0.19
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.25
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.26
 *, , , , *, *, , 0.26
 *, , , , *, *, , 0.26
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.2
 *, , , , *, *, , 0.19
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.24
 *, *, , *, *, *, , 0.21
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.22
 *, *, , , , *, , 0.24
 *, *, , , , *, , 0.23
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.2
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.22
 *, *, , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.22
 *, *, , , *, *, , 0.23
 *, *, , , *, *, , 0.24
 *, *, , , *, *, , 0.24
 *, *, , , *, *, , 0.24
 *, , , , *, *, , 0.21
 *, *, , *, *, *, , 0.22
 *, *, , *, *, *, , 0.21
 *, *, , *, *, *, , 0.22
 *, *, , *, *, *, , 0.21
 *, , , , *, *, , 0.27
 *, , , , *, *, , 0.28
 *, , , , *, *, , 0.231
 *, *, , , , *, , 0.242
 *, *, , , , *, , 0.228
 *, *, , , , *, , 0.205
 *, *, , , , *, , 0.184
 *, *, , , , *, , 0.241
 *, *, , , , *, , 0.241
 *, *, , , , *, , 0.198
 *, , , , *, *, , 0.232
 *, , , , *, *, , 0.232
 *, , , , *, *, , 0.256
 *, *, , , *, *, , 0.29
 *, *, , *, *, *, , 0.21
 *, *, , *, *, *, , 0.208
 *, *, , *, *, *, , 0.204
 *, *, , *, *, *, , 0.209
 *, *, , *, *, *, , 0.203
 *, *, , *, *, *, , 0.24
 *, *, , *, *, *, , 0.202
 *, *, , *, *, *, , 0.219
 *, *, , *, *, *, , 0.221
 *, , , , *, *, , 0.226
 *, , , , *, *, , 0.232
 *, , , , *, *, , 0.229
 *, , , , *, *, , 0.244
 *, , , , *, *, , 0.237
 *, , , , *, *, , 0.221
 *, , , , *, *, , 0.216
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.199
 *, , , , *, *, , 0.247
 *, , , , *, *, , 0.215
 *, , , , *, *, , 0.248
 *, , , , *, *, , 0.227
 *, , , , *, *, , 0.227
 *, , , , *, *, , 0.221
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.249
 *, , , , *, *, , 0.229
 *, , , , *, *, , 0.245
 *, , , , *, *, , 0.259
 *, , , , *, *, , 0.236
 *, , , , *, *, , 0.203
 *, , , , *, *, , 0.223
